pid, mode, frame, date, time, thumbTip.x, thumbTip.y, thumbIP.x, thumbIP.y, thumbMP.x, thumbMP.y, thumbCMC.x, thumbCMC.y, thumbTip2.x, thumbTip2.y, thumbIP2.x, thumbIP2.y, thumbMP2.x, thumbMP2.y, thumbCMC2.x, thumbCMC2.y, indexTip.x, indexTip.y, indexPIP.x, indexPIP.y, indexDIP.x, indexDIP.y, indexMCP.x, indexMCP.y, indexTip2.x, indexTip2.y, indexPIP2.x, indexPIP2.y, indexDIP2.x, indexDIP2.y, indexMCP2.x, indexMCP2.y, middleTip.x, middleTip.y, middlePIP.x, middlePIP.y, middleDIP.x, middleDIP.y, middleMCP.x, middleMCP.y, middleTip2.x, middleTip2.y, middlePIP2.x, middlePIP2.y, middleDIP2.x, middleDIP2.y, middleMCP2.x, middleMCP2.y, ringTip.x, ringTip.y, ringPIP.x, ringPIP.y, ringDIP.x, ringDIP.y, ringMCP.x, ringMCP.y, ringTip2.x, ringTip2.y, ringPIP2.x, ringPIP2.y, ringDIP2.x, ringDIP2.y, ringMCP2.x, ringMCP2.y, littleTip.x, littleTip.y, littlePIP.x, littlePIP.y, littleDIP.x, littleDIP.y, littleMCP.x, littleMCP.y, littleTip2.x, littleTip2.y, littlePIP2.x, littlePIP2.y, littleDIP2.x, littleDIP2.y, littleMCP2.x, littleMCP2.y
201a, 2, 0, 2023-11-19, 21:23:52.708, 520.0193622112274, 143.33325722813606, 553.7382514476776, 244.49458085000515, 527.844961643219, 170.79995381832123, 531.0829491615295, 205.1413396000862, 363.47848677635193, 133.93403227627277, 264.9254081249237, 198.17271971702576, 337.84076178073883, 154.8638901859522, 307.7373049259186, 181.98639297485352, 563.176011800766, 63.76318107545376, 561.3923633098602, 115.73444521427155, 559.9505789279938, 86.73717206716537, 565.2845256328583, 158.05300277471542, 353.31308472156525, 39.800043031573296, 335.8730710744858, 88.94132480025291, 346.9841545820236, 62.02905677258968, 314.1169536113739, 122.06442388892174, 603.4100954532623, 52.87940748035908, 597.415030002594, 108.90425279736519, 600.8187277317047, 75.49376828968525, 596.0334079265594, 156.0436796694994, 340.89184617996216, 23.67905530333519, 317.8333786725998, 72.30137468874454, 331.5235252380371, 45.350453212857246, 295.4257251024246, 107.87270256876945, 635.0231928825378, 61.13415288925171, 628.6595985889435, 120.86572952568531, 632.4161040782928, 88.87501710653305, 623.9253861904144, 163.77002587914467, 317.40477085113525, 24.976273775100708, 294.2528656721115, 70.38185757398605, 306.9130035638809, 44.92214050889015, 276.8909296989441, 101.2837426662445, 675.283830165863, 93.36031699180603, 666.9994306564331, 145.08284915983677, 671.6494824886322, 119.100701212883, 654.2383556365967, 176.87895068526268, 272.3478145599365, 37.31825417280197, 262.4782521724701, 76.70477426052094, 266.02374517917633, 56.14438956975937, 254.35347998142242, 103.14148300886154
201a, 2, 1, 2023-11-19, 21:23:52.741, 521.1147828102112, 143.3208206295967, 554.5979669094086, 244.93726751208305, 528.8625545501709, 170.9211950302124, 531.8223400115967, 205.15840086340904, 365.1187845468521, 134.1048011481762, 265.6265239715576, 198.53875568509102, 339.56177592277527, 154.83457981050014, 308.80292212963104, 182.92163768410683, 563.9886195659637, 63.48173272609711, 563.1716232299805, 115.16982989013195, 561.521576166153, 86.03691032528877, 566.3251168727875, 157.40967440605164, 353.88873744010925, 39.979123800992966, 336.81097531318665, 88.77783665060997, 347.77890253067017, 62.428590312600136, 315.4107209444046, 122.40724278986454, 604.3584711551666, 53.29547107219696, 598.7739870548248, 108.46509712934494, 602.1511867046356, 75.64085137844086, 597.4205296039581, 156.37337452173233, 341.9025229215622, 24.41200217604637, 319.1404505968094, 72.79215161502361, 332.7492697238922, 46.03643473982811, 296.57428073883057, 108.53627946972847, 636.2258279323578, 61.290610298514366, 629.9896132946014, 120.80279658734798, 633.5433557033539, 88.51654309034348, 625.2464570999146, 163.95869970321655, 318.47772085666656, 25.69422173500061, 295.75781214237213, 70.92722429335117, 308.52419233322144, 45.53678345680237, 278.0646779537201, 101.99650350213051, 676.7579455375671, 93.57527016103268, 668.3180017471313, 145.10287895798683, 673.106987953186, 119.11638757586479, 655.6464202404022, 177.34016725420952, 273.40690445899963, 38.02604661881924, 263.70619094371796, 77.26620231568813, 266.8218262195587, 56.52648687362671, 255.43765139579773, 103.49464491009712
201a, 2, 2, 2023-11-19, 21:23:52.775, 521.2812151908875, 142.83207480609417, 554.6009111404419, 243.53777520358562, 529.043541431427, 170.5280985236168, 532.172981262207, 204.34927201271057, 364.8010298013687, 132.65353134274483, 266.78727316856384, 196.78478907048702, 339.3114607334137, 153.9523625075817, 309.42746019363403, 180.59718117117882, 564.5126926898956, 62.59870298206806, 563.4419369697571, 114.55559316277504, 561.8282206058502, 85.44545319676399, 566.3021740913391, 156.58551539480686, 355.08645617961884, 39.148559004068375, 337.4298748970032, 88.12422777712345, 348.56409561634064, 61.49062705039978, 315.9605144262314, 121.02484299242496, 605.065586566925, 52.203268989920616, 598.93164229393, 107.85673497617245, 602.3738927841187, 74.90234240889549, 597.0781099796295, 155.129589676857, 343.0245804786682, 23.177591651678085, 319.73737955093384, 71.45096758008003, 333.6249006986618, 44.818460524082184, 297.2817294597626, 106.87802466750145, 636.969940662384, 60.89891993999481, 630.0639412403107, 120.22674459218979, 633.9145510196686, 88.22462674975395, 624.9620888233185, 163.05460898578167, 319.4920917749405, 24.61339382827282, 296.36549031734467, 69.56854152679443, 309.1489248275757, 44.386804312467575, 278.6025834083557, 100.24709905683994, 676.8490500450134, 92.91209948062897, 667.8510911464691, 144.713469684124, 672.9869966506958, 118.78497409820557, 655.0172991752625, 176.61637596786022, 274.42185866832733, 36.72123494744301, 264.6241799592972, 75.69328507781029, 267.91969108581543, 55.23551794886589, 256.3646397590637, 101.9020728468895
201a, 2, 3, 2023-11-19, 21:23:52.814, 523.0944170951843, 143.52924302220345, 556.7329788208008, 245.57465881109238, 530.7908036708832, 171.96743169426918, 534.1331169605255, 206.02196326851845, 367.44350492954254, 133.98637223243713, 268.22541892528534, 197.60144862532616, 341.87844133377075, 154.16034743189812, 310.80788791179657, 182.05491925776005, 566.502604007721, 63.56078949570656, 565.0427098274231, 115.15158121287823, 563.5568175315857, 85.98953875899315, 568.369357585907, 158.23536455631256, 356.6781463623047, 40.31809923052788, 339.07161700725555, 88.26331144571304, 350.2382242679596, 62.191544994711876, 317.3539412021637, 122.0130526125431, 607.130270242691, 53.713159546256065, 600.4879739284515, 108.44894205033779, 604.0086631774902, 75.98232662677765, 598.9778611660004, 157.08469796180725, 344.44786620140076, 24.563147470355034, 321.74212312698364, 72.43133401870728, 335.52176320552826, 45.550688698887825, 299.274335026741, 107.94663470983505, 638.602822303772, 61.75270180404186, 631.6309943199158, 121.20682980120182, 635.489381313324, 88.92376357316971, 626.959832906723, 164.3482652157545, 320.89215695858, 25.446739673614502, 298.5576092004776, 70.35835927724838, 311.0572865009308, 45.21743160486221, 280.49041879177094, 101.26074433326721, 678.6021451950073, 93.8874037861824, 670.0522093772888, 145.48603868484497, 674.6957061290741, 119.48711070418358, 657.4528448581696, 177.53440317511559, 276.2801684141159, 37.76909649372101, 266.29980850219727, 76.29442900419235, 269.29611909389496, 56.24025762081146, 257.8989452123642, 102.72020104527473
201a, 2, 4, 2023-11-19, 21:23:52.846, 524.734742641449, 143.96239912509918, 558.1918730735779, 244.7466250807047, 532.5085124969482, 171.61264491081238, 535.6110653877258, 205.82891476154327, 369.4972171783447, 134.35856400430202, 270.3630417585373, 197.66775631904602, 343.7385565042496, 154.31521120667458, 312.9332060813904, 182.16438007354736, 568.4039661884308, 64.55065524578094, 566.5096590518951, 116.46689212322235, 565.2688601016998, 87.41684155166149, 569.8135306835175, 158.98615388572216, 358.8826254606247, 40.634263813495636, 341.0551121234894, 88.75490081310272, 352.2692437171936, 62.70722636580467, 319.3091050386429, 122.14719913899899, 609.1606230735779, 53.675912246108055, 602.4103345870972, 109.35422018170357, 606.0661807060242, 76.27936759591103, 600.5130832195282, 156.75944028794765, 346.558407664299, 24.784287691116333, 323.8651636838913, 72.82686784863472, 337.5022863149643, 45.76082971692085, 301.1075632572174, 108.13418361544609, 640.6197316646576, 62.160890966653824, 633.8114473819733, 121.55127358436584, 637.7024986743927, 89.63752433657646, 628.7920889854431, 164.63324455916882, 323.10238564014435, 26.000449538230896, 300.9099942445755, 70.48488135635853, 313.13321936130524, 45.52653419971466, 282.56157422065735, 101.59047043323517, 680.6856608390808, 94.3566822707653, 672.002956867218, 146.13255432248116, 676.821329832077, 120.20630857348442, 659.1421113014221, 177.9533103108406, 278.3179095983505, 38.21756398677826, 268.65077698230743, 76.48838369548321, 271.3954669237137, 56.52148723602295, 260.0901474952698, 102.74351185560226
201a, 2, 5, 2023-11-19, 21:23:52.878, 523.5270524024963, 143.48399630188942, 557.502756357193, 245.3370510339737, 531.859726190567, 170.9151954650879, 534.9853885173798, 206.5661738216877, 369.33359014987946, 134.25804004073143, 270.5264743566513, 198.3157406002283, 343.90754425525665, 154.59444096684456, 313.36017513275146, 182.40904983878136, 567.3289330005646, 64.45331855118275, 565.3186342716217, 116.59232053160667, 564.0892233848572, 87.65685540437698, 569.3317878246307, 159.6288885474205, 358.44449055194855, 40.2021701335907, 341.4078643321991, 88.87051743268967, 352.3742083311081, 62.54070718586445, 319.98669481277466, 122.2327241897583, 607.655843257904, 53.673943638801575, 601.5951159000397, 109.19760653376579, 604.8748781681061, 76.29211667180061, 600.3071537017822, 157.61390960216522, 346.59540498256683, 24.44343739748001, 323.847776055336, 72.97663824260235, 337.3973217010498, 46.07236963510513, 301.24758088588715, 108.37544737756252, 640.0002765655518, 62.1208313703537, 633.3689239025116, 121.61908116936684, 636.8080079555511, 89.7835762500763, 628.5084984302521, 165.60345548391342, 323.3535063266754, 25.897519499063492, 300.7027314901352, 70.977533146739, 313.3788959980011, 45.719863936305046, 282.7845025062561, 101.80982953310013, 680.1165909767151, 94.24215932190418, 670.8962593078613, 145.65315157175064, 675.9818906784058, 119.97520032525063, 658.4297740459442, 178.01655572652817, 278.5431432723999, 38.035420939326286, 268.8056824207306, 76.98784749209881, 271.66694724559784, 56.51561266183853, 260.2320261001587, 103.24028834700584
201a, 2, 6, 2023-11-19, 21:23:52.909, 523.9677982330322, 143.06490167975426, 557.5525860786438, 244.37280842661858, 532.1779253482819, 170.54294119775295, 535.179041147232, 205.89853471517563, 369.00775265693665, 133.46516001224518, 270.52844643592834, 197.64847646653652, 343.700559258461, 154.2072815299034, 313.1769106388092, 182.2634978890419, 567.4572570323944, 64.1552464067936, 565.5390627384186, 116.22244109213352, 564.3054854869843, 87.29466290771961, 569.5031087398529, 159.177421271801, 358.21575713157654, 39.503158301115036, 341.17235362529755, 87.98245680332184, 352.09125661849976, 61.777293771505356, 319.8572597503662, 121.61851871013641, 607.764057636261, 53.45311589539051, 601.7556598186493, 108.75207632780075, 605.0203120708466, 75.93301770091057, 600.368260383606, 157.17700377106667, 346.6290692090988, 24.049247220158577, 323.59110021591187, 72.04961168766022, 337.46162259578705, 45.17624709010124, 301.01370894908905, 107.7099956125021, 639.9949436187744, 61.85510063171387, 633.5101358890533, 121.19242459535599, 636.9265549182892, 89.48403546214104, 628.4050059318542, 165.08955523371696, 322.826655626297, 25.048612281680107, 300.2726237773895, 69.9543885588646, 313.15546774864197, 44.79393105208874, 282.3835871219635, 101.05569669604301, 680.1382005214691, 93.99308362603188, 670.8650393486023, 145.32392543554306, 675.9289500713348, 119.60107119381428, 658.1291291713715, 177.63045871257782, 278.555864572525, 37.178139328956604, 268.33871626853943, 76.10250541567802, 271.6937230825424, 55.76126109063625, 260.07792615890503, 102.50777894258499
201a, 2, 7, 2023-11-19, 21:23:52.945, 525.0270547866821, 142.82398164272308, 558.5433475971222, 244.8948955833912, 533.3158428668976, 170.1563129723072, 535.9735946655273, 205.75951354205608, 369.4255279302597, 133.8403203189373, 271.63586616516113, 197.19475935399532, 343.81766188144684, 154.47382470965385, 314.15689516067505, 181.37981194257736, 568.8670992851257, 63.72952726483345, 567.3624861240387, 115.43165466189384, 566.057080745697, 86.30820316076279, 570.3928220272064, 158.27579912543297, 358.97681307792664, 40.34222248196602, 341.66876208782196, 88.7214969843626, 352.959165930748, 62.56848642230034, 320.3898322582245, 121.9058728814125, 609.407327413559, 53.50251856446266, 603.0678424835205, 108.81425932049751, 606.6843025684357, 75.87102219462395, 601.223920583725, 156.1105810701847, 347.0978407859802, 24.51236990094185, 324.5545303821564, 72.75312319397926, 338.1948194503784, 45.79807701706886, 301.8872845172882, 107.89113873243332, 641.191412448883, 61.67476995289326, 634.5574488639832, 120.8788848221302, 638.4639434814453, 88.80767823755741, 629.5424234867096, 164.020445227623, 323.7033976316452, 25.68259757757187, 301.16119825839996, 70.75714287161827, 314.02871000766754, 45.275239914655685, 283.4625366926193, 101.52194415032864, 681.8986840248108, 93.80490976572037, 672.988440990448, 145.23824414610863, 677.7181537151337, 119.21309931576252, 659.8762803077698, 177.53865286707878, 279.10185277462006, 38.12997658550739, 269.19395983219147, 77.31972968578339, 272.50224781036377, 56.67475737631321, 260.7872358560562, 103.34396833181381
201a, 2, 8, 2023-11-19, 21:23:52.978, 526.6546590328217, 143.21635945141315, 558.42968916893, 243.9841490983963, 534.18639087677, 170.74720764160156, 536.9195261001587, 204.93263597786427, 371.52693116664886, 133.7332655787468, 273.14142370224, 196.38909900188446, 345.37382686138153, 152.85166104137897, 315.52668476104736, 180.19752264022827, 570.5828638076782, 63.897483840584755, 568.6937785148621, 115.5305224955082, 567.451201915741, 86.44819301366806, 572.0031497478485, 157.72680766880512, 360.785626411438, 40.19254583120346, 342.7861533164978, 87.99320602416992, 354.1543570756912, 62.06796020269394, 321.20405101776123, 121.1506776213646, 610.9947123527527, 53.59154336154461, 604.3704147338867, 109.19657535851002, 608.0272607803345, 75.91601893305779, 603.0021805763245, 156.4331826865673, 348.42474460601807, 24.212704122066498, 325.7629427909851, 72.23687936365604, 339.35301327705383, 45.074191987514496, 303.2620737552643, 107.1345998197794, 642.2571129798889, 61.786574348807335, 635.5944292545319, 121.30060425400734, 639.2091116905212, 89.03791154921055, 630.9733197689056, 164.34060952067375, 324.56808495521545, 24.852189019322395, 302.6056213378906, 69.98429264128208, 314.8448175191879, 44.60569469630718, 284.60564827919006, 100.52048549056053, 682.3987588882446, 94.09163898229599, 673.8083815574646, 145.70995995402336, 678.5160958766937, 119.54754382371902, 661.0783042907715, 177.88512775301933, 280.56749653816223, 37.487179428339005, 269.94596087932587, 76.31636491417885, 273.3454644680023, 56.07761316001415, 261.78277480602264, 102.22086223959923
201a, 2, 9, 2023-11-19, 21:23:53.011, 526.2015252113342, 141.9546071588993, 559.5279984474182, 243.0142194032669, 534.1050634384155, 169.20625683665276, 537.1045126914978, 204.27440243959427, 372.0781967639923, 132.10950827598572, 273.7092436552048, 195.56134650111198, 346.26651215553284, 152.0280332416296, 315.8836866617203, 179.85217267274857, 570.3364927768707, 62.711976021528244, 568.1083765029907, 114.79245099425316, 566.9136297702789, 85.71112143993378, 571.3210325241089, 157.2241253554821, 361.69917130470276, 38.72149620950222, 343.4956852197647, 86.62743002176285, 354.820725440979, 60.625627249479294, 322.0928477048874, 119.86477082967758, 611.3115782737732, 51.77223773300648, 604.2168703079224, 107.59003555774689, 608.0065400600433, 74.44884403049946, 602.0546381473541, 155.26395493745804, 349.39845180511475, 22.989324048161507, 326.78153562545776, 70.857854321599, 340.36602318286896, 43.85309299826622, 304.26280677318573, 105.9440611153841, 642.7263567447662, 60.39311285316944, 635.5989289283752, 119.86770811676979, 639.5555310249329, 87.90946209430695, 630.5384068489075, 163.22722147405148, 325.5519858598709, 23.697397723793983, 303.5041117668152, 68.47730812430382, 315.79941499233246, 43.30207043886185, 285.53480315208435, 99.34635184705257, 682.734123468399, 92.58946661651134, 673.6561703681946, 144.27450150251389, 678.7390797138214, 118.38922153413296, 660.9004838466644, 176.36764399707317, 281.46240389347076, 36.53237363696098, 271.053102850914, 74.958869561553, 274.1174918413162, 54.92541542649269, 263.0427668094635, 101.04388505220413
201a, 2, 10, 2023-11-19, 21:23:53.045, 528.4243085384369, 142.8287937939167, 561.2428185939789, 243.3314776569605, 536.3860647678375, 169.95210902392864, 539.644939661026, 205.20570993423462, 374.62276232242584, 132.82083171606064, 275.632715344429, 196.31357322633266, 348.7240562438965, 152.55721363425255, 317.91712260246277, 180.49318870902061, 571.2474267482758, 62.8076565861702, 569.2462940216064, 114.5829349309206, 568.3079175949097, 85.62918987870216, 573.0428521633148, 156.8960866332054, 363.92289900779724, 38.797646939754486, 345.93023097515106, 86.9229710996151, 357.26343727111816, 60.84408016502857, 324.7177685499191, 120.08013021945953, 610.7545630931854, 52.34728980064392, 605.6267681121826, 108.21833376586437, 608.2439117431641, 75.48330029845238, 604.5992314815521, 155.2868907749653, 351.60895824432373, 22.875613540410995, 329.16069650650024, 71.01762399077415, 342.6082773208618, 44.03595474362373, 306.84192538261414, 106.06602102518082, 643.4883015155792, 60.97163341939449, 637.7401626110077, 120.8456372320652, 640.687504529953, 89.03434930741787, 632.8161306381226, 162.79222175478935, 328.05866527557373, 24.107805475592613, 306.4358992576599, 68.63229689002037, 318.1630492210388, 43.7125094383955, 288.03684401512146, 99.77822679281235, 683.9761445522308, 92.53756412863731, 674.8817481994629, 143.64948430657387, 679.5209674835205, 117.81766921281815, 662.2310540676117, 174.7817901968956, 283.28266084194183, 36.56718361377716, 273.4033213853836, 75.26100391149521, 276.33244240283966, 55.08071666955948, 265.07686936855316, 101.57278421521187
