pid, mode, frame, date, time, thumbTip.x, thumbTip.y, thumbIP.x, thumbIP.y, thumbMP.x, thumbMP.y, thumbCMC.x, thumbCMC.y, thumbTip2.x, thumbTip2.y, thumbIP2.x, thumbIP2.y, thumbMP2.x, thumbMP2.y, thumbCMC2.x, thumbCMC2.y, indexTip.x, indexTip.y, indexPIP.x, indexPIP.y, indexDIP.x, indexDIP.y, indexMCP.x, indexMCP.y, indexTip2.x, indexTip2.y, indexPIP2.x, indexPIP2.y, indexDIP2.x, indexDIP2.y, indexMCP2.x, indexMCP2.y, middleTip.x, middleTip.y, middlePIP.x, middlePIP.y, middleDIP.x, middleDIP.y, middleMCP.x, middleMCP.y, middleTip2.x, middleTip2.y, middlePIP2.x, middlePIP2.y, middleDIP2.x, middleDIP2.y, middleMCP2.x, middleMCP2.y, ringTip.x, ringTip.y, ringPIP.x, ringPIP.y, ringDIP.x, ringDIP.y, ringMCP.x, ringMCP.y, ringTip2.x, ringTip2.y, ringPIP2.x, ringPIP2.y, ringDIP2.x, ringDIP2.y, ringMCP2.x, ringMCP2.y, littleTip.x, littleTip.y, littlePIP.x, littlePIP.y, littleDIP.x, littleDIP.y, littleMCP.x, littleMCP.y, littleTip2.x, littleTip2.y, littlePIP2.x, littlePIP2.y, littleDIP2.x, littleDIP2.y, littleMCP2.x, littleMCP2.y
Jordyn-blind, 2, 0, 2023-11-17, 22:06:26.949, 316.82990016043186, 459.5238583087921, 340.11065016686916, 349.02764534950256, 341.0799861550331, 416.7982052564621, 346.61867843568325, 357.91136252880096, 316.82990016043186, 459.5238583087921, 340.11065016686916, 349.02764534950256, 341.0799861550331, 416.7982052564621, 346.61867843568325, 357.91136252880096, 292.7762374281883, 439.74268102645874, 315.9681501239538, 474.6091537475586, 302.536342471838, 472.6969590187073, 331.29807019233704, 417.28158688545227, 292.7762374281883, 439.74268102645874, 315.9681501239538, 474.6091537475586, 302.536342471838, 472.6969590187073, 331.29807019233704, 417.28158688545227, 246.81725624203685, 463.5508441925049, 226.88673214614394, 473.38279819488525, 240.34047570824626, 486.49873638153076, 238.9202036559582, 420.82369124889374, 246.81725624203685, 463.5508441925049, 226.88673214614394, 473.38279819488525, 240.34047570824626, 486.49873638153076, 238.9202036559582, 420.82369124889374, 179.88010814785963, 471.49854588508606, 175.96114221215248, 455.84770810604095, 179.40611125528818, 470.320853471756, 173.3836727887392, 438.2183748483658, 179.88010814785963, 471.49854588508606, 175.96114221215248, 455.84770810604095, 179.40611125528818, 470.320853471756, 173.3836727887392, 438.2183748483658, 143.53371144831186, 466.4293022155762, 128.94470642507076, 448.7866643667221, 134.97198829054832, 452.1971116065979, 124.15386618673801, 448.69680976867676, 143.53371144831186, 466.4293022155762, 128.94470642507076, 448.7866643667221, 134.97198829054832, 452.1971116065979, 124.15386618673801, 448.69680976867676
Jordyn-blind, 2, 5, 2023-11-17, 22:06:27.750, 261.13215613365173, 305.88343930244446, 166.59616477787495, 282.15632581710815, 222.8059966862202, 303.0082310438156, 196.11771242320538, 288.49386644363403, 261.13215613365173, 305.88343930244446, 166.59616477787495, 282.15632581710815, 222.8059966862202, 303.0082310438156, 196.11771242320538, 288.49386644363403, 272.57198317348957, 457.17897272109985, 265.44584345817566, 406.62002635002136, 270.5146947950125, 438.85302329063416, 238.16100868582728, 376.0653244256973, 272.57198317348957, 457.17897272109985, 265.44584345817566, 406.62002635002136, 270.5146947950125, 438.85302329063416, 238.16100868582728, 376.0653244256973, 255.17133820056918, 496.4831793308258, 244.58004340529445, 430.6754215955734, 252.75407591462138, 474.4091682434082, 230.00210008025172, 392.0354446172714, 255.17133820056918, 496.4831793308258, 244.58004340529445, 430.6754215955734, 252.75407591462138, 474.4091682434082, 230.00210008025172, 392.0354446172714, 256.7716284543276, 510.0898597240448, 233.89581784605983, 441.0538637638092, 247.68644323945048, 482.736953496933, 217.77986100316048, 401.1803928613663, 256.7716284543276, 510.0898597240448, 233.89581784605983, 441.0538637638092, 247.68644323945048, 482.736953496933, 217.77986100316048, 401.1803928613663, 196.40547281503683, 471.10124135017395, 196.8543152809143, 421.09281063079834, 194.3116558343172, 446.67540073394775, 199.92877992987633, 393.98663651943207, 196.40547281503683, 471.10124135017395, 196.8543152809143, 421.09281063079834, 194.3116558343172, 446.67540073394775, 199.92877992987633, 393.98663651943207
Jordyn-blind, 2, 10, 2023-11-17, 22:06:28.053, 248.14134776592257, 403.7529286146164, 163.43023800849915, 289.5647888183594, 220.23237073421478, 364.24359798431396, 202.76919904351234, 307.466157913208, 248.14134776592257, 403.7529286146164, 163.43023800849915, 289.5647888183594, 220.23237073421478, 364.24359798431396, 202.76919904351234, 307.466157913208, 260.6716270148754, 469.3413133621216, 269.89377105236053, 392.9158807992935, 272.2992841899395, 434.9249746799469, 254.23828083276751, 358.1054595708847, 260.6716270148754, 469.3413133621216, 269.89377105236053, 392.9158807992935, 272.2992841899395, 434.9249746799469, 254.23828083276751, 358.1054595708847, 211.90722417831427, 472.2326593399048, 225.83227732777598, 421.65996396541595, 222.39946365356448, 450.4082690477371, 217.05813206732273, 381.82124054431915, 211.90722417831427, 472.2326593399048, 225.83227732777598, 421.65996396541595, 222.39946365356448, 450.4082690477371, 217.05813206732273, 381.82124054431915, 175.30965818464762, 476.07282543182373, 187.6320775002241, 423.1585775613785, 185.51707455515862, 455.6505001783371, 184.8064385652542, 392.2175147533417, 175.30965818464762, 476.07282543182373, 187.6320775002241, 423.1585775613785, 185.51707455515862, 455.6505001783371, 184.8064385652542, 392.2175147533417, 153.1991046071053, 484.1249084472656, 146.31729093194008, 434.167751789093, 150.63832147419458, 466.7375576496124, 141.90611067414284, 400.8633325099945, 153.1991046071053, 484.1249084472656, 146.31729093194008, 434.167751789093, 150.63832147419458, 466.7375576496124, 141.90611067414284, 400.8633325099945
Jordyn-blind, 2, 15, 2023-11-17, 22:06:28.217, 246.4122855961323, 398.0415370464325, 184.20920060575008, 295.24521040916443, 230.9290641397238, 373.0313221216202, 216.3873681873083, 326.45305943489075, 246.4122855961323, 398.0415370464325, 184.20920060575008, 295.24521040916443, 230.9290641397238, 373.0313221216202, 216.3873681873083, 326.45305943489075, 242.40723215043548, 411.7654311656952, 275.0145873725414, 403.63654816150665, 267.4085136950016, 422.5419000387192, 266.028738707304, 368.29316556453705, 242.40723215043548, 411.7654311656952, 275.0145873725414, 403.63654816150665, 267.4085136950016, 422.5419000387192, 266.028738707304, 368.29316556453705, 190.14195807278156, 431.2334644794464, 232.5571023821831, 428.2137666940689, 213.68540778756142, 443.56459844112396, 220.38635957241058, 393.35859870910645, 190.14195807278156, 431.2334644794464, 232.5571023821831, 428.2137666940689, 213.68540778756142, 443.56459844112396, 220.38635957241058, 393.35859870910645, 172.40955589711666, 441.42430913448334, 194.84080497920513, 427.3760496377945, 190.32985070347786, 451.289288520813, 186.6033395677805, 400.52985668182373, 172.40955589711666, 441.42430913448334, 194.84080497920513, 427.3760496377945, 190.32985070347786, 451.289288520813, 186.6033395677805, 400.52985668182373, 156.8399344533682, 455.55961787700653, 156.66997802257538, 430.8687686920166, 159.07296009361744, 452.53758692741394, 149.2393603771925, 401.30852246284485, 156.8399344533682, 455.55961787700653, 156.66997802257538, 430.8687686920166, 159.07296009361744, 452.53758692741394, 149.2393603771925, 401.30852246284485
Jordyn-blind, 2, 20, 2023-11-17, 22:06:28.381, 213.2505643069744, 403.533722281456, 174.6207393705845, 300.7519223690033, 214.11022074520588, 372.5742441415787, 207.6018175035715, 328.6817589998245, 213.2505643069744, 403.533722281456, 174.6207393705845, 300.7519223690033, 214.11022074520588, 372.5742441415787, 207.6018175035715, 328.6817589998245, 209.3700018376112, 407.8476873636246, 279.9312309920788, 421.43217492103577, 248.47988572716716, 430.3160309791565, 260.8616132438183, 366.0012205839157, 209.3700018376112, 407.8476873636246, 279.9312309920788, 421.43217492103577, 248.47988572716716, 430.3160309791565, 260.8616132438183, 366.0012205839157, 174.79807026684284, 414.58519899845123, 246.61445844173434, 434.94102907180786, 207.52966648340225, 434.5506684780121, 220.8843859732151, 393.74751496315, 174.79807026684284, 414.58519899845123, 246.61445844173434, 434.94102907180786, 207.52966648340225, 434.5506684780121, 220.8843859732151, 393.74751496315, 154.26880832016468, 415.64173352718353, 209.80993869900703, 432.83301520347595, 183.5076264590025, 433.5321034193039, 188.0696707814932, 401.9647248983383, 154.26880832016468, 415.64173352718353, 209.80993869900703, 432.83301520347595, 183.5076264590025, 433.5321034193039, 188.0696707814932, 401.9647248983383, 146.50715216994286, 432.0594046115875, 169.47298750281334, 435.1193494796753, 166.37514954805374, 447.00718224048615, 157.98219540715218, 403.6077446937561, 146.50715216994286, 432.0594046115875, 169.47298750281334, 435.1193494796753, 166.37514954805374, 447.00718224048615, 157.98219540715218, 403.6077446937561
Jordyn-blind, 2, 25, 2023-11-17, 22:06:28.552, 209.82693746685982, 401.9736409187317, 181.78181405365467, 302.3518064022064, 224.94034197926524, 388.1307554244995, 212.03430871665478, 328.3635598421097, 209.82693746685982, 401.9736409187317, 181.78181405365467, 302.3518064022064, 224.94034197926524, 388.1307554244995, 212.03430871665478, 328.3635598421097, 219.03867600858212, 423.714203953743, 262.1748930513859, 401.50834131240845, 247.93117550015452, 424.845094203949, 264.59159287810326, 364.9023002386093, 219.03867600858212, 423.714203953743, 262.1748930513859, 401.50834131240845, 247.93117550015452, 424.845094203949, 264.59159287810326, 364.9023002386093, 187.7372261285782, 436.4012565612793, 243.49693441390994, 423.70526015758514, 217.0340400636196, 435.54545748233795, 218.36413115262985, 389.2724504470825, 187.7372261285782, 436.4012565612793, 243.49693441390994, 423.70526015758514, 217.0340400636196, 435.54545748233795, 218.36413115262985, 389.2724504470825, 168.81925363838673, 442.8167915344238, 192.44101017713547, 413.57152247428894, 185.68071894347668, 436.3516490459442, 182.91023226082325, 397.1524626016617, 168.81925363838673, 442.8167915344238, 192.44101017713547, 413.57152247428894, 185.68071894347668, 436.3516490459442, 182.91023226082325, 397.1524626016617, 139.18755772709846, 441.4014219045639, 147.42092968523502, 418.15371811389923, 146.14252234995365, 434.7446266412735, 146.08852626383305, 397.8668830394745, 139.18755772709846, 441.4014219045639, 147.42092968523502, 418.15371811389923, 146.14252234995365, 434.7446266412735, 146.08852626383305, 397.8668830394745
Jordyn-blind, 2, 30, 2023-11-17, 22:06:28.712, 210.9799788892269, 420.17934906482697, 193.7637892961502, 316.4095096588135, 240.93730744719508, 400.1514674425125, 237.04590201377871, 360.17658722400665, 210.9799788892269, 420.17934906482697, 193.7637892961502, 316.4095096588135, 240.93730744719508, 400.1514674425125, 237.04590201377871, 360.17658722400665, 198.93975786864758, 442.7657952308655, 257.39830178022385, 407.85282588005066, 233.9544385969639, 430.272367477417, 261.33826619386673, 370.9780820608139, 198.93975786864758, 442.7657952308655, 257.39830178022385, 407.85282588005066, 233.9544385969639, 430.272367477417, 261.33826619386673, 370.9780820608139, 170.57806365191942, 468.1841194629669, 210.91420240700245, 423.22212851047516, 195.91222731769085, 447.52083945274353, 212.14505068957806, 388.8126504421234, 170.57806365191942, 468.1841194629669, 210.91420240700245, 423.22212851047516, 195.91222731769085, 447.52083945274353, 212.14505068957806, 388.8126504421234, 137.0024036169052, 463.1185977458954, 168.2091103643179, 428.5304659605026, 156.4628367871046, 448.2932834625244, 175.5246113538742, 398.61338448524475, 137.0024036169052, 463.1185977458954, 168.2091103643179, 428.5304659605026, 156.4628367871046, 448.2932834625244, 175.5246113538742, 398.61338448524475, 133.93537592887878, 455.41537833213806, 142.69030383229256, 419.93747770786285, 141.59910167753696, 440.1917040348053, 143.40343964099884, 395.4706678390503, 133.93537592887878, 455.41537833213806, 142.69030383229256, 419.93747770786285, 141.59910167753696, 440.1917040348053, 143.40343964099884, 395.4706678390503
Jordyn-blind, 2, 35, 2023-11-17, 22:06:28.880, 221.29529368877414, 435.9954526424408, 191.18425752222538, 320.38641583919525, 242.26877343654635, 405.8446658849716, 232.3113701939583, 367.2739894390106, 221.29529368877414, 435.9954526424408, 191.18425752222538, 320.38641583919525, 242.26877343654635, 405.8446658849716, 232.3113701939583, 367.2739894390106, 233.39629155397418, 418.9295507669449, 268.66667249798775, 409.4687365293503, 261.56478102505207, 425.7161144018173, 276.54372653365135, 374.2895920276642, 233.39629155397418, 418.9295507669449, 268.66667249798775, 409.4687365293503, 261.56478102505207, 425.7161144018173, 276.54372653365135, 374.2895920276642, 184.10739548504358, 469.14560532569885, 255.65530312061313, 426.6738783121109, 226.8953252732754, 453.8162442445755, 231.68735292553905, 390.55555188655853, 184.10739548504358, 469.14560532569885, 255.65530312061313, 426.6738783121109, 226.8953252732754, 453.8162442445755, 231.68735292553905, 390.55555188655853, 158.70958018302917, 440.8913199901581, 205.84713219106197, 420.14626812934875, 184.69807142019272, 438.40436136722565, 199.5315587222576, 391.73610520362854, 158.70958018302917, 440.8913199901581, 205.84713219106197, 420.14626812934875, 184.69807142019272, 438.40436136722565, 199.5315587222576, 391.73610520362854, 143.7245101183653, 452.5448919534683, 161.75685930252075, 406.3878209590912, 156.34815759956837, 427.48304188251495, 151.82411052286625, 377.99265694618225, 143.7245101183653, 452.5448919534683, 161.75685930252075, 406.3878209590912, 156.34815759956837, 427.48304188251495, 151.82411052286625, 377.99265694618225
Jordyn-blind, 2, 40, 2023-11-17, 22:06:29.116, 232.8140212595463, 423.49999725818634, 169.00186540186405, 319.6285263299942, 221.5581496357918, 405.11891293525696, 204.5713809132576, 357.76251220703125, 232.8140212595463, 423.49999725818634, 169.00186540186405, 319.6285263299942, 221.5581496357918, 405.11891293525696, 204.5713809132576, 357.76251220703125, 199.91571837663656, 473.9410910606384, 265.6991063505411, 430.1287667751312, 239.6894603967667, 455.3604656457901, 268.33332166075706, 373.64411103725433, 199.91571837663656, 473.9410910606384, 265.6991063505411, 430.1287667751312, 239.6894603967667, 455.3604656457901, 268.33332166075706, 373.64411103725433, 163.99650946259504, 493.2831335067749, 235.00036278367045, 436.0382550954819, 200.22816447913652, 469.0013380050659, 222.0222409963608, 392.03847217559814, 163.99650946259504, 493.2831335067749, 235.00036278367045, 436.0382550954819, 200.22816447913652, 469.0013380050659, 222.0222409963608, 392.03847217559814, 139.4968165606261, 473.6772768497467, 178.40309020876884, 435.51204323768616, 159.7268814444542, 461.1792105436325, 188.84989547729492, 399.02918767929077, 139.4968165606261, 473.6772768497467, 178.40309020876884, 435.51204323768616, 159.7268814444542, 461.1792105436325, 188.84989547729492, 399.02918767929077, 136.0037885010243, 464.21571266651154, 154.51729030907154, 414.06937527656555, 148.62737348675728, 436.2987084388733, 152.33238618075848, 396.900230884552, 136.0037885010243, 464.21571266651154, 154.51729030907154, 414.06937527656555, 148.62737348675728, 436.2987084388733, 152.33238618075848, 396.900230884552
Jordyn-blind, 2, 45, 2023-11-17, 22:06:29.282, 204.71958892047405, 419.64624881744385, 179.39892427623272, 320.50124084949493, 217.67386868596077, 398.17872154712677, 211.4520384222269, 352.0996171236038, 204.71958892047405, 419.64624881744385, 179.39892427623272, 320.50124084949493, 217.67386868596077, 398.17872154712677, 211.4520384222269, 352.0996171236038, 199.56586873531342, 431.43372774124146, 257.91920152306557, 415.6713980436325, 224.62667721509936, 434.5516128540039, 261.80092015862465, 367.45055997371674, 199.56586873531342, 431.43372774124146, 257.91920152306557, 415.6713980436325, 224.62667721509936, 434.5516128540039, 261.80092015862465, 367.45055997371674, 174.20701935887337, 454.8891386985779, 200.83412055671215, 426.3209316730499, 192.2214948385954, 447.80315232276917, 209.7927211970091, 393.09245133399963, 174.20701935887337, 454.8891386985779, 200.83412055671215, 426.3209316730499, 192.2214948385954, 447.80315232276917, 209.7927211970091, 393.09245133399963, 176.23609103262424, 450.53242671489716, 179.9766948968172, 420.2414001226425, 181.29459936916828, 440.23020124435425, 177.4838755875826, 402.87043702602386, 176.23609103262424, 450.53242671489716, 179.9766948968172, 420.2414001226425, 181.29459936916828, 440.23020124435425, 177.4838755875826, 402.87043702602386, 163.32212084531784, 441.6083513498306, 166.91264183819294, 414.8795665502548, 168.41553290188313, 433.17976784706116, 148.12665978074074, 394.55526196956635, 163.32212084531784, 441.6083513498306, 166.91264183819294, 414.8795665502548, 168.41553290188313, 433.17976784706116, 148.12665978074074, 394.55526196956635
