pid, mode, frame, date, time, thumbTip.x, thumbTip.y, thumbIP.x, thumbIP.y, thumbMP.x, thumbMP.y, thumbCMC.x, thumbCMC.y, thumbTip2.x, thumbTip2.y, thumbIP2.x, thumbIP2.y, thumbMP2.x, thumbMP2.y, thumbCMC2.x, thumbCMC2.y, indexTip.x, indexTip.y, indexPIP.x, indexPIP.y, indexDIP.x, indexDIP.y, indexMCP.x, indexMCP.y, indexTip2.x, indexTip2.y, indexPIP2.x, indexPIP2.y, indexDIP2.x, indexDIP2.y, indexMCP2.x, indexMCP2.y, middleTip.x, middleTip.y, middlePIP.x, middlePIP.y, middleDIP.x, middleDIP.y, middleMCP.x, middleMCP.y, middleTip2.x, middleTip2.y, middlePIP2.x, middlePIP2.y, middleDIP2.x, middleDIP2.y, middleMCP2.x, middleMCP2.y, ringTip.x, ringTip.y, ringPIP.x, ringPIP.y, ringDIP.x, ringDIP.y, ringMCP.x, ringMCP.y, ringTip2.x, ringTip2.y, ringPIP2.x, ringPIP2.y, ringDIP2.x, ringDIP2.y, ringMCP2.x, ringMCP2.y, littleTip.x, littleTip.y, littlePIP.x, littlePIP.y, littleDIP.x, littleDIP.y, littleMCP.x, littleMCP.y, littleTip2.x, littleTip2.y, littlePIP2.x, littlePIP2.y, littleDIP2.x, littleDIP2.y, littleMCP2.x, littleMCP2.y
Ruben-Cali, 0, 0, 2023-11-17, 21:48:51.499, 325.9370212852955, 462.8868645429611, 215.12949061393738, 460.4353755712509, 290.1258670389652, 449.4315620660782, 259.4624646604061, 446.5792132616043, 325.9370212852955, 462.8868645429611, 215.12949061393738, 460.4353755712509, 290.1258670389652, 449.4315620660782, 259.4624646604061, 446.5792132616043, 269.19394677877426, 181.75589495897293, 251.47426243126395, 271.0606578588486, 263.99347998201847, 225.13631999492645, 234.91268163919452, 327.84093105793, 269.19394677877426, 181.75589495897293, 251.47426243126395, 271.0606578588486, 263.99347998201847, 225.13631999492645, 234.91268163919452, 327.84093105793, 177.49974943697453, 165.33523797988894, 193.59267669916153, 253.62544941902163, 183.49715846776962, 202.6086473464966, 192.99256394803524, 317.65641927719116, 177.49974943697453, 165.33523797988894, 193.59267669916153, 253.62544941902163, 183.49715846776962, 202.6086473464966, 192.99256394803524, 317.65641927719116, 109.32012890279293, 185.97320038080218, 138.80655409395695, 272.86658251285553, 123.25843109190464, 229.00709497928622, 151.69483864307404, 330.7656635046005, 109.32012890279293, 185.97320038080218, 138.80655409395695, 272.86658251285553, 123.25843109190464, 229.00709497928622, 151.69483864307404, 330.7656635046005, 45.200307846069336, 251.3850284814835, 85.97913326323032, 323.55449175834656, 62.99870523810387, 290.8816933631897, 114.70655097067356, 361.2209837436676, 45.200307846069336, 251.3850284814835, 85.97913326323032, 323.55449175834656, 62.99870523810387, 290.8816933631897, 114.70655097067356, 361.2209837436676
Ruben-Cali, 0, 5, 2023-11-17, 21:48:51.669, 326.060043618083, 463.754273891449, 214.3216741681099, 461.13640809059143, 290.241264924407, 451.00866997241974, 259.35706605017185, 446.9811841249466, 326.060043618083, 463.754273891449, 214.3216741681099, 461.13640809059143, 290.241264924407, 451.00866997241974, 259.35706605017185, 446.9811841249466, 270.1290664970875, 183.7996079325676, 252.0464084595442, 272.68267917633057, 264.9285059571266, 226.90173369646072, 235.31871470808986, 329.2196089029312, 270.1290664970875, 183.7996079325676, 252.0464084595442, 272.68267917633057, 264.9285059571266, 226.90173369646072, 235.31871470808986, 329.2196089029312, 179.39551827311516, 167.62698853015903, 194.40121184289455, 254.03928053379062, 184.85168528556824, 203.85200166702273, 193.62989275157452, 318.0625842809677, 179.39551827311516, 167.62698853015903, 194.40121184289455, 254.03928053379062, 184.85168528556824, 203.85200166702273, 193.62989275157452, 318.0625842809677, 111.48756554722786, 187.2672315835953, 139.8228554278612, 273.92317259311676, 125.27028526365757, 229.82420241832736, 152.56668169796467, 330.11771047115326, 111.48756554722786, 187.2672315835953, 139.8228554278612, 273.92317259311676, 125.27028526365757, 229.82420241832736, 152.56668169796467, 330.11771047115326, 47.954733192920685, 251.54896104335788, 87.58751668035984, 324.7437666654587, 65.06436800956726, 291.692245721817, 116.08654469251633, 360.77948796749115, 47.954733192920685, 251.54896104335788, 87.58751668035984, 324.7437666654587, 65.06436800956726, 291.692245721817, 116.08654469251633, 360.77948796749115
Ruben-Cali, 0, 10, 2023-11-17, 21:48:51.839, 325.1462348550558, 462.8338406085968, 213.99141685664654, 458.80779910087585, 289.9525983482599, 448.9695122241974, 258.68311490118504, 444.54591619968414, 325.1462348550558, 462.8338406085968, 213.99141685664654, 458.80779910087585, 289.9525983482599, 448.9695122241974, 258.68311490118504, 444.54591619968414, 267.6273728311062, 180.79650616645813, 250.72572293877604, 270.55463898181915, 263.04239267110825, 224.07439696788788, 234.1532366871834, 326.8488085269928, 267.6273728311062, 180.79650616645813, 250.72572293877604, 270.55463898181915, 263.04239267110825, 224.07439696788788, 234.1532366871834, 326.8488085269928, 175.86164942383766, 164.27603697776797, 193.06983959674835, 252.1076149940491, 182.06994941830635, 201.6265935301781, 192.39726334810257, 315.94132137298584, 175.86164942383766, 164.27603697776797, 193.06983959674835, 252.1076149940491, 182.06994941830635, 201.6265935301781, 192.39726334810257, 315.94132137298584, 109.51627093553543, 186.00589245557788, 138.29449746012688, 272.0342539548874, 123.06791365146637, 228.85386997461322, 150.61269833147526, 328.8250541687012, 109.51627093553543, 186.00589245557788, 138.29449746012688, 272.0342539548874, 123.06791365146637, 228.85386997461322, 150.61269833147526, 328.8250541687012, 44.23831507563591, 250.68699574470523, 85.48235677182674, 322.90298342704773, 62.3793438822031, 290.656320810318, 113.79386712610722, 358.63422679901123, 44.23831507563591, 250.68699574470523, 85.48235677182674, 322.90298342704773, 62.3793438822031, 290.656320810318, 113.79386712610722, 358.63422679901123
Ruben-Cali, 0, 15, 2023-11-17, 21:48:52.004, 325.21116764843464, 461.68897914886475, 214.79557731747627, 457.77162420749664, 289.0842550396919, 448.5961503982544, 258.05866016447544, 444.00165009498596, 325.21116764843464, 461.68897914886475, 214.79557731747627, 457.77162420749664, 289.0842550396919, 448.5961503982544, 258.05866016447544, 444.00165009498596, 267.6972115188837, 180.45844733715057, 250.43440030515197, 269.2089865207672, 262.78959849476814, 222.79397588968277, 234.96911504864696, 326.719651222229, 267.6972115188837, 180.45844733715057, 250.43440030515197, 269.2089865207672, 262.78959849476814, 222.79397588968277, 234.96911504864696, 326.719651222229, 176.32092863321304, 164.7224907279015, 192.32986198365688, 251.98012423515323, 182.48801286518574, 201.73229420185092, 192.3624533712864, 315.69470036029816, 176.32092863321304, 164.7224907279015, 192.32986198365688, 251.98012423515323, 182.48801286518574, 201.73229420185092, 192.3624533712864, 315.69470036029816, 108.7437644302845, 185.61719840765002, 138.23478303849697, 271.31811141967773, 122.70990835130215, 227.65917879343036, 151.15965868532658, 328.1006900072098, 108.7437644302845, 185.61719840765002, 138.23478303849697, 271.31811141967773, 122.70990835130215, 227.65917879343036, 151.15965868532658, 328.1006900072098, 46.08227516710758, 250.04473674297336, 86.59230756759644, 322.6743333339691, 64.03887984156609, 290.1062217950821, 114.72320601344109, 358.0292706489563, 46.08227516710758, 250.04473674297336, 86.59230756759644, 322.6743333339691, 64.03887984156609, 290.1062217950821, 114.72320601344109, 358.0292706489563
Ruben-Cali, 0, 20, 2023-11-17, 21:48:52.171, 328.2432603687048, 454.2624341249466, 219.28468942642212, 450.9895602464676, 292.78904899954796, 440.71244406700134, 261.77629694342613, 436.850946187973, 328.2432603687048, 454.2624341249466, 219.28468942642212, 450.9895602464676, 292.78904899954796, 440.71244406700134, 261.77629694342613, 436.850946187973, 269.69766026735306, 171.02082586288452, 252.20749053359035, 260.56136333942413, 264.3712026029825, 214.08180183172226, 236.89663158357146, 318.74253499507904, 269.69766026735306, 171.02082586288452, 252.20749053359035, 260.56136333942413, 264.3712026029825, 214.08180183172226, 236.89663158357146, 318.74253499507904, 177.84281831979752, 155.6477179527283, 193.22804687917233, 243.88068354129794, 184.06621097028255, 193.48791956901553, 193.77300737798214, 307.5312920808792, 177.84281831979752, 155.6477179527283, 193.22804687917233, 243.88068354129794, 184.06621097028255, 193.48791956901553, 193.77300737798214, 307.5312920808792, 110.1921594440937, 176.68154054880145, 139.21218094229698, 263.0944575071335, 124.22195500135422, 219.15297591686252, 153.07567605376244, 319.64169204235077, 110.1921594440937, 176.68154054880145, 139.21218094229698, 263.0944575071335, 124.22195500135422, 219.15297591686252, 153.07567605376244, 319.64169204235077, 47.42333421111107, 242.3707929849625, 87.88755743205547, 314.8357070684433, 65.45977684855461, 281.9880602359772, 116.79264976084232, 350.2300581932068, 47.42333421111107, 242.3707929849625, 87.88755743205547, 314.8357070684433, 65.45977684855461, 281.9880602359772, 116.79264976084232, 350.2300581932068
Ruben-Cali, 0, 25, 2023-11-17, 21:48:52.339, 324.6070239394903, 454.0320897102356, 214.42538540065289, 451.7739200592041, 289.0568507760763, 442.16925513744354, 257.81280298531055, 438.0097233057022, 324.6070239394903, 454.0320897102356, 214.42538540065289, 451.7739200592041, 289.0568507760763, 442.16925513744354, 257.81280298531055, 438.0097233057022, 265.4365628808737, 173.89497864246368, 247.90611481666568, 263.1518700122833, 260.37327364087105, 216.41181349754333, 233.16224601864818, 320.50154638290405, 265.4365628808737, 173.89497864246368, 247.90611481666568, 263.1518700122833, 260.37327364087105, 216.41181349754333, 233.16224601864818, 320.50154638290405, 174.3357912749052, 158.41986423730853, 190.1054294705391, 246.27542662620547, 181.25363358855247, 195.93152022361758, 190.47562138736248, 309.3367167711258, 174.3357912749052, 158.41986423730853, 190.1054294705391, 246.27542662620547, 181.25363358855247, 195.93152022361758, 190.47562138736248, 309.3367167711258, 107.67996653914452, 179.18226206302646, 136.69258232414722, 265.1708903312683, 121.3127908706665, 221.15923327207568, 150.17413637042046, 321.6073273420334, 107.67996653914452, 179.18226206302646, 136.69258232414722, 265.1708903312683, 121.3127908706665, 221.15923327207568, 150.17413637042046, 321.6073273420334, 45.760767221450806, 244.4586138725281, 85.45032784342766, 316.5326396226883, 62.87083950638771, 283.52533769607544, 113.69228073954582, 352.1398364305496, 45.760767221450806, 244.4586138725281, 85.45032784342766, 316.5326396226883, 62.87083950638771, 283.52533769607544, 113.69228073954582, 352.1398364305496
Ruben-Cali, 0, 30, 2023-11-17, 21:48:52.506, 321.5518391430378, 455.77190804481506, 213.68887628614902, 452.78898537158966, 287.2844792455435, 443.06360697746277, 257.18462976813316, 439.3243502378464, 321.5518391430378, 455.77190804481506, 213.68887628614902, 452.78898537158966, 287.2844792455435, 443.06360697746277, 257.18462976813316, 439.3243502378464, 263.4627996981144, 175.8215473294258, 247.27459809184077, 264.5724892616272, 258.89069360494614, 218.23229265213013, 231.9065870344639, 321.5395267009735, 263.4627996981144, 175.8215473294258, 247.27459809184077, 264.5724892616272, 258.89069360494614, 218.23229265213013, 231.9065870344639, 321.5395267009735, 172.6131973862648, 160.02981698513034, 189.85360397398472, 247.49547708034518, 179.03429445624352, 197.2478275895119, 190.48833921551704, 311.5289467573166, 172.6131973862648, 160.02981698513034, 189.85360397398472, 247.49547708034518, 179.03429445624352, 197.2478275895119, 190.48833921551704, 311.5289467573166, 106.62366810441017, 181.56296449899676, 136.4281952381134, 267.4994715452194, 120.87404142320156, 224.34001660346988, 149.25739032030106, 324.35312831401825, 106.62366810441017, 181.56296449899676, 136.4281952381134, 267.4994715452194, 120.87404142320156, 224.34001660346988, 149.25739032030106, 324.35312831401825, 43.662888035178185, 245.45043087005618, 84.68488332629204, 318.433696269989, 61.735140576958656, 285.9796875715256, 112.62073341012001, 354.2817645072937, 43.662888035178185, 245.45043087005618, 84.68488332629204, 318.433696269989, 61.735140576958656, 285.9796875715256, 112.62073341012001, 354.2817645072937
Ruben-Cali, 0, 35, 2023-11-17, 21:48:52.672, 318.41056683659554, 455.6941636800766, 210.04332803189754, 452.49342346191406, 283.18618255853653, 443.46316134929657, 252.9187202304602, 439.11517095565796, 318.41056683659554, 455.6941636800766, 210.04332803189754, 452.49342346191406, 283.18618255853653, 443.46316134929657, 252.9187202304602, 439.11517095565796, 261.1586854606867, 176.72917598485947, 244.17969742417338, 264.5899602174759, 256.27813297510147, 218.78919672966003, 229.43057900667193, 322.24117028713226, 261.1586854606867, 176.72917598485947, 244.17969742417338, 264.5899602174759, 256.27813297510147, 218.78919672966003, 229.43057900667193, 322.24117028713226, 171.57096043229103, 161.2731851935387, 187.35169157385826, 247.24491190910342, 177.262360394001, 197.8410762548447, 187.8196889013052, 311.3529039621353, 171.57096043229103, 161.2731851935387, 187.35169157385826, 247.24491190910342, 177.262360394001, 197.8410762548447, 187.8196889013052, 311.3529039621353, 104.744460567832, 181.90907829999927, 133.82254035770893, 267.229407787323, 118.56383387744427, 223.57814127206805, 147.00005394220352, 323.3208142518997, 104.744460567832, 181.90907829999927, 133.82254035770893, 267.229407787323, 118.56383387744427, 223.57814127206805, 147.00005394220352, 323.3208142518997, 42.22458603978157, 245.297136425972, 82.45526368916035, 317.8594878911972, 59.943707928061485, 285.42047810554504, 111.1751194447279, 352.7638189792633, 42.22458603978157, 245.297136425972, 82.45526368916035, 317.8594878911972, 59.943707928061485, 285.42047810554504, 111.1751194447279, 352.7638189792633
Ruben-Cali, 0, 40, 2023-11-17, 21:48:52.839, 319.91614520549774, 454.5329700708389, 211.2489906400442, 450.9154267311096, 285.14485308527946, 441.45475137233734, 254.51376086473468, 437.1174546480179, 319.91614520549774, 454.5329700708389, 211.2489906400442, 450.9154267311096, 285.14485308527946, 441.45475137233734, 254.51376086473468, 437.1174546480179, 262.00878009200096, 174.02245551347733, 245.8067044913769, 263.0320453643799, 257.78980465233326, 216.31305676698685, 230.8720057755709, 320.25975835323334, 262.00878009200096, 174.02245551347733, 245.8067044913769, 263.0320453643799, 257.78980465233326, 216.31305676698685, 230.8720057755709, 320.25975835323334, 172.8947082310915, 159.01816809177402, 189.093346580863, 243.9664551019669, 178.71622376143932, 194.9590490460396, 189.28492644429207, 308.8809164762497, 172.8947082310915, 159.01816809177402, 189.093346580863, 243.9664551019669, 178.71622376143932, 194.9590490460396, 189.28492644429207, 308.8809164762497, 105.76988624036312, 178.82994037866595, 135.33214968442917, 264.9646830558777, 119.71778148412704, 221.23442226648334, 148.11153587698936, 320.8213287591934, 105.76988624036312, 178.82994037866595, 135.33214968442917, 264.9646830558777, 119.71778148412704, 221.23442226648334, 148.11153587698936, 320.8213287591934, 43.128864243626595, 242.6957416534424, 83.52103018760681, 315.8585773706436, 60.6114095300436, 283.0090695619583, 112.23141787946224, 351.04972100257874, 43.128864243626595, 242.6957416534424, 83.52103018760681, 315.8585773706436, 60.6114095300436, 283.0090695619583, 112.23141787946224, 351.04972100257874
Ruben-Cali, 0, 45, 2023-11-17, 21:48:53.006, 320.8614516854286, 457.18691658973694, 212.62470342218876, 453.4587701559067, 286.59337309002876, 444.25507616996765, 256.5610187202692, 439.7694013118744, 320.8614516854286, 457.18691658973694, 212.62470342218876, 453.4587701559067, 286.59337309002876, 444.25507616996765, 256.5610187202692, 439.7694013118744, 263.5214829444885, 175.0769346356392, 247.98079690337184, 265.07536947727203, 259.3676590323448, 218.0180859565735, 232.1057600975037, 321.3886487483978, 263.5214829444885, 175.0769346356392, 247.98079690337184, 265.07536947727203, 259.3676590323448, 218.0180859565735, 232.1057600975037, 321.3886487483978, 174.5798048377037, 158.78822642564776, 192.4515719115734, 247.3128792047501, 180.9536553323269, 196.33662974834445, 191.34821438789368, 311.02423334121704, 174.5798048377037, 158.78822642564776, 192.4515719115734, 247.3128792047501, 180.9536553323269, 196.33662974834445, 191.34821438789368, 311.02423334121704, 108.99771477282047, 180.79036772251132, 137.52586567401886, 266.4192165136337, 121.83922146260738, 223.18964165449145, 150.34974864125252, 323.73356211185455, 108.99771477282047, 180.79036772251132, 137.52586567401886, 266.4192165136337, 121.83922146260738, 223.18964165449145, 150.34974864125252, 323.73356211185455, 43.96027272939682, 244.6024367809296, 85.58878655731678, 317.30669462680817, 62.24126014113426, 284.97981560230255, 113.20790959894657, 353.8185203075409, 43.96027272939682, 244.6024367809296, 85.58878655731678, 317.30669462680817, 62.24126014113426, 284.97981560230255, 113.20790959894657, 353.8185203075409
