pid, mode, frame, date, time, thumbTip.x, thumbTip.y, thumbIP.x, thumbIP.y, thumbMP.x, thumbMP.y, thumbCMC.x, thumbCMC.y, thumbTip2.x, thumbTip2.y, thumbIP2.x, thumbIP2.y, thumbMP2.x, thumbMP2.y, thumbCMC2.x, thumbCMC2.y, indexTip.x, indexTip.y, indexPIP.x, indexPIP.y, indexDIP.x, indexDIP.y, indexMCP.x, indexMCP.y, indexTip2.x, indexTip2.y, indexPIP2.x, indexPIP2.y, indexDIP2.x, indexDIP2.y, indexMCP2.x, indexMCP2.y, middleTip.x, middleTip.y, middlePIP.x, middlePIP.y, middleDIP.x, middleDIP.y, middleMCP.x, middleMCP.y, middleTip2.x, middleTip2.y, middlePIP2.x, middlePIP2.y, middleDIP2.x, middleDIP2.y, middleMCP2.x, middleMCP2.y, ringTip.x, ringTip.y, ringPIP.x, ringPIP.y, ringDIP.x, ringDIP.y, ringMCP.x, ringMCP.y, ringTip2.x, ringTip2.y, ringPIP2.x, ringPIP2.y, ringDIP2.x, ringDIP2.y, ringMCP2.x, ringMCP2.y, littleTip.x, littleTip.y, littlePIP.x, littlePIP.y, littleDIP.x, littleDIP.y, littleMCP.x, littleMCP.y, littleTip2.x, littleTip2.y, littlePIP2.x, littlePIP2.y, littleDIP2.x, littleDIP2.y, littleMCP2.x, littleMCP2.y
201a, 1, 0, 2023-11-19, 21:23:40.773, 562.4986164569855, 183.451099306345, 605.0846407413483, 287.13308396935463, 573.4229357242584, 211.63024425506592, 582.1088616847992, 246.64398755133152, 352.03173315525055, 173.35358121991158, 261.78974652290344, 245.2814613133669, 330.1864832639694, 196.7347614467144, 300.85908126831055, 223.89932368695736, 616.736573934555, 98.1934666633606, 617.0558285713196, 150.3098140358925, 614.876264333725, 120.7441758364439, 620.4859688282013, 192.49019411206245, 322.87859630584717, 85.3959880322218, 310.80508255958557, 129.90294946730137, 317.52231788635254, 105.44869077205658, 294.46115612983704, 165.40147012472153, 663.1973173618317, 88.72465300559998, 655.9347882270813, 146.2047053426504, 658.1892359256744, 112.31928651034832, 653.8898808956146, 193.63901709020138, 309.3669090270996, 75.50336134433746, 294.3688017129898, 121.01250013709068, 303.2087720632553, 95.16043651103973, 277.3236483335495, 155.4732210189104, 698.1614496707916, 98.48657041788101, 689.0243897438049, 158.54534208774567, 693.5330073833466, 127.44234657287598, 683.6238367557526, 203.22269742190838, 286.7056349515915, 80.08631040155888, 272.68887317180634, 122.24266096949577, 280.46389293670654, 99.40744116902351, 259.66562271118164, 151.41585886478424, 739.8634269237518, 134.23879143595695, 730.6180970668793, 185.4195816218853, 735.9867079257965, 159.61607697606087, 716.9209232330322, 217.32208168506622, 239.8651968240738, 99.7083568572998, 241.98393213748932, 134.60570234060287, 240.73038411140442, 116.80402393639088, 239.18924582004547, 155.83341366052628
201a, 1, 1, 2023-11-19, 21:23:40.810, 563.7118062973022, 183.69776892662048, 606.6742477416992, 287.4191882312298, 574.1449389457703, 212.12698949873447, 583.1971716880798, 247.89283452928066, 353.06143629550934, 177.05475044250488, 261.68583738803864, 248.45673115551472, 329.7182672023773, 200.01608610153198, 301.0329575538635, 227.84663131833076, 617.5029072761536, 100.56648215651512, 618.4158411026001, 151.0942571759224, 616.0659558773041, 121.89006152749062, 621.7852635383606, 193.9374329596758, 322.166481256485, 88.43223670125008, 310.2845925092697, 132.67834204435349, 317.0961265563965, 108.35038669407368, 294.07057332992554, 167.73761329054832, 663.3671939373016, 90.97567734122276, 657.155255317688, 147.36334010958672, 659.6432971954346, 113.17000609636307, 655.0805723667145, 195.24411949515343, 308.83983612060547, 78.64732095599174, 293.9466656446457, 123.80554768443108, 302.57379031181335, 98.05678907036781, 277.3091493844986, 157.99188220500946, 698.0334589481354, 100.57141929864883, 689.8499965667725, 160.1557253599167, 693.8950922489166, 128.81865306198597, 684.5040507316589, 204.72318241000175, 286.42882168293, 83.16524347662926, 272.17271614074707, 125.25481763482094, 280.01392555236816, 102.39016246795654, 259.5781568288803, 153.9721735715866, 740.5024917125702, 135.87454786896706, 731.0684533119202, 187.36337822675705, 736.2871305942535, 161.49059735238552, 717.4782717227936, 219.20719504356384, 239.85072565078735, 102.84819176793098, 241.8116946220398, 137.23982390761375, 240.68758165836334, 119.85320916771889, 239.08980858325958, 158.29157923161983
201a, 1, 2, 2023-11-19, 21:23:40.843, 563.97478723526, 186.72308088839054, 606.2538893222809, 289.2338066995144, 574.5845737457275, 215.04384057223797, 583.2043378353119, 249.83666238188744, 354.34975957870483, 177.98040209710598, 262.78145241737366, 249.19427144527435, 331.13130366802216, 200.73453402519226, 302.1307113170624, 228.33434596657753, 617.8139958381653, 102.28785738348961, 618.3300695419312, 152.9679338634014, 615.8261399269104, 123.76445691287518, 621.7776529788971, 196.12368074059486, 323.4491105079651, 89.77617053687572, 311.16794514656067, 133.77163779735565, 318.10996973514557, 109.54039418697357, 295.05083560943604, 168.53936767578125, 664.0832531452179, 92.44994547963142, 657.2474708557129, 149.16814678907394, 659.7209582328796, 115.15039379894733, 654.8878085613251, 197.27565973997116, 310.01089012622833, 79.94675801694393, 294.87993133068085, 124.91915446519852, 303.6749049425125, 99.14158543944359, 278.39270973205566, 158.94334448873997, 698.6726903915405, 102.27585825324059, 689.8846607208252, 162.37987664341927, 694.0899114608765, 130.7967284321785, 684.5818784236908, 206.94427141547203, 287.61518013477325, 84.4619619846344, 273.3412981033325, 126.41517102718353, 281.0878199338913, 103.62291686236858, 260.8996721506119, 155.0745311677456, 740.8248572349548, 137.8675284087658, 731.2854375839233, 189.26017823815346, 736.5562777519226, 163.3824289739132, 717.9173510074615, 221.02034486830235, 241.83205425739288, 104.15681566298008, 243.28350460529327, 138.40048977732658, 242.43881583213806, 120.99865739047527, 240.6598892211914, 159.2910067886114
201a, 1, 3, 2023-11-19, 21:23:40.876, 562.6016089916229, 185.1310400366783, 604.2913649082184, 289.19280967116356, 573.073961019516, 214.200807929039, 581.2411468029022, 250.0803634673357, 352.82145369052887, 177.81507033109665, 260.67518842220306, 249.35185377299786, 329.62866258621216, 200.82546493411064, 300.03128015995026, 228.3042543977499, 614.8854303359985, 102.21748748421669, 615.846527338028, 152.89956381917, 613.5354170799255, 123.40267063677311, 619.9091217517853, 194.67553570866585, 322.2731679677963, 89.8104493021965, 309.3259119987488, 132.95619690418243, 316.30851697921753, 109.08173993229866, 293.7628456354141, 168.01521816849709, 661.3095097541809, 92.46688175201416, 654.6623804569244, 149.0117206275463, 657.5889461040497, 114.48128604888916, 653.342365026474, 196.07949644327164, 307.85204660892487, 80.14752471446991, 292.9006303548813, 124.50612190365791, 301.78101444244385, 98.71742868423462, 276.55478739738464, 158.79369908571243, 696.1890370845795, 102.05631166696548, 688.2775549888611, 161.803730905056, 692.1636066436768, 130.151118978858, 682.4566435813904, 205.38513442873955, 285.70681846141815, 84.46871149539948, 271.1714553833008, 126.0870698094368, 278.6526631116867, 103.21785247325897, 259.123717546463, 155.0001928061247, 737.8312408924103, 136.67164634168148, 729.0292122364044, 188.97638630867004, 734.219669342041, 162.68966668844223, 714.4481580257416, 220.45401091873646, 239.17733001708984, 103.3617795407772, 241.0954132080078, 137.48518112301826, 239.8839454650879, 120.22686958312988, 238.5011568069458, 158.3094841837883
201a, 1, 4, 2023-11-19, 21:23:40.909, 562.8982541561127, 186.70558215677738, 604.6223964691162, 291.3897754251957, 573.0352416038513, 215.31719575822353, 581.8380479812622, 251.2683711051941, 351.02702820301056, 179.46057605743408, 259.0961639881134, 250.9839542210102, 327.76732528209686, 202.4847196638584, 298.6420753002167, 230.4940019249916, 614.2078683376312, 102.92637360095978, 615.4821093082428, 153.66400840878487, 612.7774720191956, 124.39887967705727, 620.0919418334961, 196.5983338356018, 320.15168285369873, 90.84918650984764, 307.49185049533844, 135.21884539723396, 314.5104806423187, 110.80673989653587, 291.88867592811584, 170.02807226777077, 661.3191757202148, 93.46530938148499, 654.4176759719849, 150.20244681835175, 657.302633523941, 115.87462255358696, 653.4065825939178, 197.29384592175484, 306.3313512802124, 81.07445752620697, 291.189532160759, 126.18518769741058, 299.9309540987015, 100.31746895611286, 274.71989262104034, 160.5195739865303, 695.9184455871582, 102.92593613266945, 687.8869166374207, 163.28781083226204, 692.0065624713898, 131.44930613040924, 682.7577884197235, 206.75609755516052, 284.1716241836548, 85.56750684976578, 269.73655939102173, 127.71110834181309, 277.3878381252289, 104.69730773568153, 257.3573178052902, 156.63485556840897, 737.7451360225677, 137.7660670131445, 728.6911256313324, 189.72905050218105, 733.8893599510193, 163.73227861523628, 714.89084815979, 220.83751437067986, 238.41857945919037, 105.07899881899357, 239.75239944458008, 139.214868247509, 238.85138142108917, 121.79006877541542, 236.93510365486145, 160.58256942033768
201a, 1, 5, 2023-11-19, 21:23:40.943, 560.3219408988953, 186.3984169214964, 602.3401174545288, 289.50116232037544, 570.8985631465912, 214.92450547218323, 579.6815931797028, 250.10539290308952, 351.37322533130646, 179.81967502832413, 258.28763926029205, 251.59606610238552, 327.51151049137115, 202.8413500636816, 298.1214463710785, 230.5959945321083, 612.4409964084625, 103.02989734709263, 613.3871500492096, 154.243966370821, 610.8388347625732, 124.62173852324486, 617.7335572242737, 196.11558757722378, 320.35197389125824, 91.65140961110592, 307.4054123163223, 135.73037081956863, 314.4998425245285, 111.45431795716286, 291.735936999321, 170.30673956871033, 659.3199317455292, 93.47440247237682, 652.2065029144287, 150.5236422866583, 655.1287910938263, 116.14057202637196, 650.7846059799194, 197.1976653933525, 305.45663690567017, 81.44486817717552, 291.1712557077408, 126.83767165243626, 299.60506105422974, 100.99129511415958, 274.5939017534256, 160.81327144801617, 693.6384997367859, 102.67495432496071, 685.9363913536072, 162.84218688309193, 689.8010001182556, 131.18363788723946, 679.9173276424408, 206.3507519364357, 283.3844312429428, 85.84348684549332, 269.6612037420273, 128.23847636580467, 276.8687924146652, 105.05796909332275, 257.0038434267044, 156.64972949028015, 734.7796287536621, 137.71760177612305, 726.5853893756866, 189.9358792603016, 731.3848192691803, 163.52029398083687, 712.437637090683, 221.1684278845787, 237.3438240289688, 105.95427912473679, 239.21088314056396, 138.87914258241653, 237.8658972978592, 121.95568177103996, 236.5907119512558, 159.41018564999104
201a, 1, 6, 2023-11-19, 21:23:40.976, 556.5773234367371, 187.24873028695583, 600.3055982589722, 289.22549480199814, 567.7333481311798, 215.73560293018818, 576.3899984359741, 250.2859423160553, 346.67726016044617, 180.15736930072308, 255.13764536380768, 251.68796569108963, 323.1943234205246, 202.40047577023506, 294.5054862499237, 229.65706259012222, 611.1755881309509, 102.7355749309063, 611.4792327880859, 154.07585355639458, 609.3585531711578, 124.5948029756546, 614.2981395721436, 196.94112148880959, 316.1804429292679, 91.02823603153229, 303.2323259115219, 134.8956188261509, 310.86132848262787, 110.69031083583832, 286.7971283197403, 170.67752519249916, 656.9391598701477, 93.27682304382324, 649.4208714962006, 150.25219321250916, 651.948299407959, 116.31599681079388, 647.6173911094666, 197.89242753386497, 301.0628720521927, 80.97515222430229, 286.7108290195465, 126.2804307937622, 295.7145652770996, 100.63822695612907, 270.32446122169495, 160.4312678873539, 691.3640534877777, 103.12842145562172, 682.3500957489014, 162.39809407293797, 686.6211750507355, 131.51811364293098, 676.9987058639526, 206.98433101177216, 278.90083956718445, 85.18328469991684, 264.84741377830505, 127.25536012649536, 272.92457830905914, 104.3843616694212, 252.17147147655487, 156.25050842761993, 732.2457568645477, 138.29218512773514, 723.3526792526245, 189.80232644081116, 728.1463873386383, 163.83233386278152, 710.1025841236115, 221.56671151518822, 232.4479427933693, 105.7380760461092, 234.12252974510193, 140.07093119621277, 232.8798142671585, 122.82293140888214, 231.52967602014542, 160.6359405517578
201a, 1, 7, 2023-11-19, 21:23:41.007, 555.4615154266357, 187.0214342623949, 597.8870513439178, 287.6193612217903, 566.1954596042633, 215.40337701141834, 574.7165086269379, 249.40472494065762, 344.20557820796967, 179.30508732795715, 253.04585254192352, 251.82304964959621, 321.99746572971344, 202.14883776009083, 292.8881868124008, 229.71030873060226, 608.9785251617432, 103.41896289587021, 609.6144790649414, 153.68016348779202, 607.3559205532074, 124.70779478549957, 613.3081002235413, 196.14492920041084, 314.0985382795334, 90.50927364826202, 301.375904917717, 134.2578525543213, 308.6798199415207, 110.26437295973301, 284.88551688194275, 170.17340548336506, 653.7646677494049, 94.1787576675415, 648.3971123695374, 149.53024554252625, 650.67755818367, 115.93555563688278, 646.0005083084106, 197.40077567100525, 299.83771085739136, 80.5557451248169, 284.8002452850342, 125.9784214347601, 293.82517445087433, 100.32356226444244, 268.12973141670227, 160.5540089905262, 688.7836849689484, 103.84611943364143, 680.7360460758209, 162.37078355252743, 685.0408451557159, 131.39962223172188, 674.9656865596771, 206.43949550390244, 277.2700411081314, 85.18694068491459, 263.1452593803406, 126.9684434235096, 271.0812952518463, 104.45954371988773, 250.0799286365509, 156.63138706982136, 730.4417209625244, 138.28037348389626, 721.1164524555206, 189.90963116288185, 726.2193048000336, 163.70603051781654, 707.5581018924713, 221.49996635317802, 230.95141237974167, 105.54093408584595, 232.3837530016899, 140.48290133476257, 231.32352429628372, 122.74643695354462, 228.97730547189713, 161.7941690981388
201a, 1, 8, 2023-11-19, 21:23:41.043, 555.0704882144928, 185.57563281059265, 596.7056925296783, 287.02646669745445, 565.4844000339508, 214.30561283230782, 574.0502235889435, 248.7686772942543, 343.64578545093536, 179.10147708654404, 252.0506191253662, 251.62522023916245, 320.6820888519287, 202.17386719584465, 291.5707267522812, 229.57931822538376, 606.8876211643219, 103.04005286097527, 608.6763248443604, 152.6193966269493, 605.9176359176636, 123.64343443512917, 612.3107280731201, 194.63141390681267, 313.04730892181396, 90.65295073390007, 300.62865352630615, 134.3300660699606, 307.2858376502991, 110.42695492506027, 284.3795257806778, 170.05357041954994, 652.9578928947449, 92.8759770989418, 647.1033728122711, 147.4759569466114, 649.5965254306793, 113.32405743002892, 645.1311824321747, 195.54909738898277, 298.8704754114151, 81.00286896526814, 283.4961175918579, 125.6269781589508, 292.4860215187073, 100.12142066657543, 266.8309088945389, 160.52632349729538, 687.8282542228699, 102.78232154250145, 679.8486104011536, 160.4073321223259, 684.0634715557098, 129.78430181741714, 673.9244287014008, 204.5858798623085, 276.3796889781952, 85.53913390636444, 261.7921907901764, 127.00631567835808, 269.5999026298523, 104.44929446280003, 248.7904109954834, 156.71897447109222, 728.8748345375061, 136.88853687047958, 719.8946521282196, 188.09651258587837, 724.6973040103912, 162.0334017574787, 706.6856095790863, 219.76621702313423, 229.51805794239044, 104.66406014561653, 231.16375809907913, 140.55864584445953, 230.19949465990067, 122.37483888864517, 227.8741215467453, 162.4236859679222
201a, 1, 9, 2023-11-19, 21:23:41.077, 554.4294235706329, 186.1854011118412, 596.9878942966461, 290.11671145260334, 565.2018649578094, 214.70649002492428, 574.1942687034607, 250.25781935453415, 344.04870069026947, 179.50257301330566, 251.72803139686584, 251.84886027872562, 320.6705619096756, 202.33066833019257, 291.1400079727173, 229.98725740611553, 606.4493751525879, 103.15223222970963, 608.197470664978, 153.09017500281334, 605.1855223178864, 124.16877135634422, 612.0451362133026, 195.6133739799261, 312.87409925460815, 90.96899032592773, 300.21996092796326, 134.07933424413204, 307.066770195961, 110.1610367000103, 284.03807830810547, 170.0560389906168, 652.4272646903992, 93.17970508337021, 646.7673971652985, 149.10674498975277, 649.2377181053162, 114.82119891047478, 644.8707568645477, 196.71457540988922, 298.5616089105606, 81.04083496332169, 283.39040303230286, 125.39418253302574, 292.626872420311, 99.57117930054665, 266.47576797008514, 160.79061684012413, 687.3596770763397, 103.04802103340626, 679.3826997280121, 161.9945608228445, 683.3468568325043, 130.6685502231121, 673.9788136482239, 205.87619258463383, 275.9981610774994, 85.8578295558691, 261.16648614406586, 127.40053710341454, 268.9515607357025, 104.37889331579208, 248.34980404376984, 157.28430849313736, 728.1187782287598, 137.39643755555153, 719.4297413825989, 189.29436326026917, 724.3732719421387, 163.00645622611046, 706.1113178730011, 220.8325147330761, 229.5392508506775, 104.18040770292282, 231.10935926437378, 140.0966480821371, 230.0866695046425, 121.97339923679829, 227.50852304697037, 162.568362981081
