pid, mode, frame, date, time, thumbTip.x, thumbTip.y, thumbIP.x, thumbIP.y, thumbMP.x, thumbMP.y, thumbCMC.x, thumbCMC.y, thumbTip2.x, thumbTip2.y, thumbIP2.x, thumbIP2.y, thumbMP2.x, thumbMP2.y, thumbCMC2.x, thumbCMC2.y, indexTip.x, indexTip.y, indexPIP.x, indexPIP.y, indexDIP.x, indexDIP.y, indexMCP.x, indexMCP.y, indexTip2.x, indexTip2.y, indexPIP2.x, indexPIP2.y, indexDIP2.x, indexDIP2.y, indexMCP2.x, indexMCP2.y, middleTip.x, middleTip.y, middlePIP.x, middlePIP.y, middleDIP.x, middleDIP.y, middleMCP.x, middleMCP.y, middleTip2.x, middleTip2.y, middlePIP2.x, middlePIP2.y, middleDIP2.x, middleDIP2.y, middleMCP2.x, middleMCP2.y, ringTip.x, ringTip.y, ringPIP.x, ringPIP.y, ringDIP.x, ringDIP.y, ringMCP.x, ringMCP.y, ringTip2.x, ringTip2.y, ringPIP2.x, ringPIP2.y, ringDIP2.x, ringDIP2.y, ringMCP2.x, ringMCP2.y, littleTip.x, littleTip.y, littlePIP.x, littlePIP.y, littleDIP.x, littleDIP.y, littleMCP.x, littleMCP.y, littleTip2.x, littleTip2.y, littlePIP2.x, littlePIP2.y, littleDIP2.x, littleDIP2.y, littleMCP2.x, littleMCP2.y
Jordyn-full, 0, 0, 2023-11-17, 22:04:53.539, 387.1784259825945, 470.85759234428406, 441.17994920909405, 343.8815461397171, 400.52480232715607, 430.17856872081757, 416.9033026397228, 377.6345717906952, 387.1784259825945, 470.85759234428406, 441.17994920909405, 343.8815461397171, 400.52480232715607, 430.17856872081757, 416.9033026397228, 377.6345717906952, 384.5718024224043, 502.8165535926819, 444.9455200135708, 491.3432185649872, 413.7834662795067, 504.20361971855164, 459.49943383038044, 424.32768726348877, 384.5718024224043, 502.8165535926819, 444.9455200135708, 491.3432185649872, 413.7834662795067, 504.20361971855164, 459.49943383038044, 424.32768726348877, 404.057921230793, 476.1257104873657, 454.090638384223, 485.25610423088074, 430.17568434774876, 494.74647188186646, 464.1990619301796, 427.03749084472656, 404.057921230793, 476.1257104873657, 454.090638384223, 485.25610423088074, 430.17568434774876, 494.74647188186646, 464.1990619301796, 427.03749084472656, 419.4817094951868, 479.3295338153839, 455.8320121616125, 480.29068636894226, 437.8617209792137, 494.8820176124573, 465.30763782560825, 430.64261841773987, 419.4817094951868, 479.3295338153839, 455.8320121616125, 480.29068636894226, 437.8617209792137, 494.8820176124573, 465.30763782560825, 430.64261841773987, 446.1574634164572, 473.58045053482056, 462.7897578328848, 452.749071598053, 454.50829561054707, 467.23724365234375, 463.32918748259544, 426.82895040512085, 446.1574634164572, 473.58045053482056, 462.7897578328848, 452.749071598053, 454.50829561054707, 467.23724365234375, 463.32918748259544, 426.82895040512085
Jordyn-full, 0, 5, 2023-11-17, 22:04:53.908, 374.35813650488853, 474.3312294483185, 436.8779172897339, 349.83172595500946, 389.2247151583433, 436.03067231178284, 408.5175979733467, 381.4453511238098, 374.35813650488853, 474.3312294483185, 436.8779172897339, 349.83172595500946, 389.2247151583433, 436.03067231178284, 408.5175979733467, 381.4453511238098, 365.56664875149727, 502.4160826206207, 422.4007166624069, 498.6950190067291, 390.85094103217125, 503.09714436531067, 458.12340857088566, 433.78394627571106, 365.56664875149727, 502.4160826206207, 422.4007166624069, 498.6950190067291, 390.85094103217125, 503.09714436531067, 458.12340857088566, 433.78394627571106, 367.3067101240158, 498.4863119125366, 425.0825847685337, 504.2822251319885, 389.3556431680918, 507.80097007751465, 460.5335151255131, 439.1519182920456, 367.3067101240158, 498.4863119125366, 425.0825847685337, 504.2822251319885, 389.3556431680918, 507.80097007751465, 460.5335151255131, 439.1519182920456, 389.79286147654057, 467.8007028102875, 443.08749844133854, 488.25938653945923, 410.99779319763184, 490.6779890060425, 461.0552273094654, 441.4586399793625, 389.79286147654057, 467.8007028102875, 443.08749844133854, 488.25938653945923, 410.99779319763184, 490.6779890060425, 461.0552273094654, 441.4586399793625, 415.46321952342987, 433.71439576148987, 451.8292710483074, 467.17585921287537, 429.73496629297733, 465.997194647789, 461.1745936572552, 438.05646991729736, 415.46321952342987, 433.71439576148987, 451.8292710483074, 467.17585921287537, 429.73496629297733, 465.997194647789, 461.1745936572552, 438.05646991729736
Jordyn-full, 0, 10, 2023-11-17, 22:04:54.307, 364.80320408940315, 490.3264033794403, 422.678727760911, 364.5534644126892, 376.2534366250038, 454.08019733428955, 394.1180167198181, 397.5781261920929, 364.80320408940315, 490.3264033794403, 422.678727760911, 364.5534644126892, 376.2534366250038, 454.08019733428955, 394.1180167198181, 397.5781261920929, 355.2378349304199, 519.1034841537476, 410.7182509601116, 516.1052570343018, 376.9703221619129, 520.2366797924042, 452.0054770261049, 447.39248764514923, 355.2378349304199, 519.1034841537476, 410.7182509601116, 516.1052570343018, 376.9703221619129, 520.2366797924042, 452.0054770261049, 447.39248764514923, 354.1671937853098, 512.2884781360626, 411.911539465189, 514.5822563171387, 376.76714938879013, 518.0306174755096, 458.0788180530071, 454.28571021556854, 354.1671937853098, 512.2884781360626, 411.911539465189, 514.5822563171387, 376.76714938879013, 518.0306174755096, 458.0788180530071, 454.28571021556854, 369.04395920038223, 499.00644087791443, 421.66142649948597, 505.0537803173065, 389.05547742545605, 508.2722692489624, 459.8245040178299, 457.75776410102844, 369.04395920038223, 499.00644087791443, 421.66142649948597, 505.0537803173065, 389.05547742545605, 508.2722692489624, 459.8245040178299, 457.75776410102844, 390.1221501082182, 463.89006960392, 426.54697862267494, 481.41660475730896, 400.18157720565796, 480.09520053863525, 457.85439682006836, 457.6070250272751, 390.1221501082182, 463.89006960392, 426.54697862267494, 481.41660475730896, 400.18157720565796, 480.09520053863525, 457.85439682006836, 457.6070250272751
Jordyn-full, 0, 15, 2023-11-17, 22:04:54.508, 363.6400071531534, 513.7975354194641, 422.53358203172684, 385.41170251369476, 375.7940949201584, 478.2309467792511, 392.8698571920395, 420.1406018733978, 363.6400071531534, 513.7975354194641, 422.53358203172684, 385.41170251369476, 375.7940949201584, 478.2309467792511, 392.8698571920395, 420.1406018733978, 356.4061564952135, 542.8397636413574, 410.46364441514015, 535.526849269867, 378.8736217021942, 543.2468452453613, 452.0191635340452, 469.61934876441956, 356.4061564952135, 542.8397636413574, 410.46364441514015, 535.526849269867, 378.8736217021942, 543.2468452453613, 452.0191635340452, 469.61934876441956, 359.0646200478077, 534.2599966526031, 418.638801842928, 534.4341506958008, 387.5736160874367, 542.4030175209045, 458.09784792363644, 474.1406321525574, 359.0646200478077, 534.2599966526031, 418.638801842928, 534.4341506958008, 387.5736160874367, 542.4030175209045, 458.09784792363644, 474.1406321525574, 377.17115135490894, 522.1281538009644, 429.4460809826851, 521.1810557842255, 398.7214017957449, 533.8361940383911, 459.7818508595228, 477.8854718208313, 377.17115135490894, 522.1281538009644, 429.4460809826851, 521.1810557842255, 398.7214017957449, 533.8361940383911, 459.7818508595228, 477.8854718208313, 390.32301054894924, 497.06713700294495, 429.49360878765583, 502.0904951095581, 402.931627869606, 506.90570163726807, 458.59824915230274, 478.0028522014618, 390.32301054894924, 497.06713700294495, 429.49360878765583, 502.0904951095581, 402.931627869606, 506.90570163726807, 458.59824915230274, 478.0028522014618
Jordyn-full, 0, 20, 2023-11-17, 22:04:54.676, 380.7290497124195, 536.0121474266052, 444.6250432431698, 404.66022396087646, 397.2845996916294, 498.1853892803192, 417.9770685583353, 437.6963849067688, 380.7290497124195, 536.0121474266052, 444.6250432431698, 404.66022396087646, 397.2845996916294, 498.1853892803192, 417.9770685583353, 437.6963849067688, 378.898588642478, 569.8645825386047, 439.55344210565096, 564.0710024833679, 406.71847838163376, 572.5626647472382, 458.66293196380144, 494.84646463394165, 378.898588642478, 569.8645825386047, 439.55344210565096, 564.0710024833679, 406.71847838163376, 572.5626647472382, 458.66293196380144, 494.84646463394165, 367.00345085561275, 553.8393552303314, 434.0097814351321, 559.7954235076904, 393.9204060435295, 567.7430140972137, 461.69855567812925, 500.3037357330322, 367.00345085561275, 553.8393552303314, 434.0097814351321, 559.7954235076904, 393.9204060435295, 567.7430140972137, 461.69855567812925, 500.3037357330322, 389.52647453546524, 545.2525887489319, 453.16448676586157, 551.6975104808807, 425.5797362327576, 561.1096060276031, 462.4644376635552, 503.99146842956543, 389.52647453546524, 545.2525887489319, 453.16448676586157, 551.6975104808807, 425.5797362327576, 561.1096060276031, 462.4644376635552, 503.99146842956543, 440.5062480419875, 538.4901344776154, 457.4587379992009, 523.8474736213684, 448.049420028925, 535.1559317111969, 460.5393272042275, 500.91124725341797, 440.5062480419875, 538.4901344776154, 457.4587379992009, 523.8474736213684, 448.049420028925, 535.1559317111969, 460.5393272042275, 500.91124725341797
Jordyn-full, 0, 25, 2023-11-17, 22:04:55.942, 265.35010039806366, 468.75613355636597, 212.5538960546255, 393.1935828924179, 240.35578709840777, 443.9544312953949, 216.97610676288605, 413.24415731430054, 265.35010039806366, 468.75613355636597, 212.5538960546255, 393.1935828924179, 240.35578709840777, 443.9544312953949, 216.97610676288605, 413.24415731430054, 214.37695141136652, 520.3610596656799, 137.09599058330065, 559.5117774009705, 183.26364414393908, 538.4879679679871, 77.40931694209581, 522.777384519577, 214.37695141136652, 520.3610596656799, 137.09599058330065, 559.5117774009705, 183.26364414393908, 538.4879679679871, 77.40931694209581, 522.777384519577, 278.22241735458374, 536.2566297054291, 142.38407602906233, 553.1509051322937, 201.05476081371313, 547.7939600944519, 112.84393598139292, 507.02235984802246, 278.22241735458374, 536.2566297054291, 142.38407602906233, 553.1509051322937, 201.05476081371313, 547.7939600944519, 112.84393598139292, 507.02235984802246, 274.2874525785446, 553.6773669719696, 157.063012033701, 537.2534463405609, 219.06389293074614, 549.407454252243, 127.41409862041479, 505.93027234077454, 274.2874525785446, 553.6773669719696, 157.063012033701, 537.2534463405609, 219.06389293074614, 549.407454252243, 127.41409862041479, 505.93027234077454, 274.16183668375015, 541.1237769126892, 160.77339933812624, 545.1792051792145, 231.5200213044882, 548.0806059837341, 125.48708204925066, 516.463953256607, 274.16183668375015, 541.1237769126892, 160.77339933812624, 545.1792051792145, 231.5200213044882, 548.0806059837341, 125.48708204925066, 516.463953256607
Jordyn-full, 0, 30, 2023-11-17, 22:04:57.576, 290.19504952430725, 493.3446846008301, 194.42889733612537, 423.1534390449524, 254.0681681632996, 468.28527879714966, 222.09798550605777, 429.1184233427048, 290.19504952430725, 493.3446846008301, 194.42889733612537, 423.1534390449524, 254.0681681632996, 468.28527879714966, 222.09798550605777, 429.1184233427048, 237.51493051648143, 492.56674098968506, 156.09052002429968, 481.90973567962646, 209.69669690728193, 490.54061007499695, 160.34733647108084, 500.26301646232605, 237.51493051648143, 492.56674098968506, 156.09052002429968, 481.90973567962646, 209.69669690728193, 490.54061007499695, 160.34733647108084, 500.26301646232605, 268.490185290575, 522.2170362472534, 192.3701090663672, 530.5042688846588, 265.4700917005539, 538.6581778526306, 114.81019970774656, 521.6329674720764, 268.490185290575, 522.2170362472534, 192.3701090663672, 530.5042688846588, 265.4700917005539, 538.6581778526306, 114.81019970774656, 521.6329674720764, 247.12829619646075, 522.7732737064362, 178.88321165740496, 543.6478717327118, 242.24883738160136, 541.2953200340271, 118.21067197620874, 543.4464418888092, 247.12829619646075, 522.7732737064362, 178.88321165740496, 543.6478717327118, 242.24883738160136, 541.2953200340271, 118.21067197620874, 543.4464418888092, 239.88457125425342, 523.7093725204468, 202.55090236663824, 561.4950225353241, 229.9411669969559, 541.4450314044952, 136.56874755024916, 558.1525981426239, 239.88457125425342, 523.7093725204468, 202.55090236663824, 561.4950225353241, 229.9411669969559, 541.4450314044952, 136.56874755024916, 558.1525981426239
Jordyn-full, 0, 35, 2023-11-17, 22:04:57.775, 275.35478146374226, 475.8287320137024, 170.8975404947996, 426.56655275821686, 241.97373232245448, 457.5563064813614, 206.50424081087112, 424.09253764152527, 275.35478146374226, 475.8287320137024, 170.8975404947996, 426.56655275821686, 241.97373232245448, 457.5563064813614, 206.50424081087112, 424.09253764152527, 277.2822355031967, 499.7912173271179, 186.05669169127947, 483.4259035587311, 243.99508580565455, 494.11496210098267, 156.62513752281671, 489.8913793563843, 277.2822355031967, 499.7912173271179, 186.05669169127947, 483.4259035587311, 243.99508580565455, 494.11496210098267, 156.62513752281671, 489.8913793563843, 248.8036122620106, 499.96848225593567, 204.59459798038012, 523.7164831161499, 249.63267716765407, 517.3762760162354, 119.08167134225374, 514.9543404579163, 248.8036122620106, 499.96848225593567, 204.59459798038012, 523.7164831161499, 249.63267716765407, 517.3762760162354, 119.08167134225374, 514.9543404579163, 235.04042237997058, 511.5585865974426, 200.25403760373598, 540.4532144069672, 229.681998282671, 526.9818575382233, 116.76908896863466, 530.286229133606, 235.04042237997058, 511.5585865974426, 200.25403760373598, 540.4532144069672, 229.681998282671, 526.9818575382233, 116.76908896863466, 530.286229133606, 232.5551025271416, 515.0696098804474, 192.02154058218008, 545.0463814735413, 218.11139947175985, 529.9229776859283, 138.20731627941137, 548.7752778530121, 232.5551025271416, 515.0696098804474, 192.02154058218008, 545.0463814735413, 218.11139947175985, 529.9229776859283, 138.20731627941137, 548.7752778530121
Jordyn-full, 0, 40, 2023-11-17, 22:04:57.973, 252.7264529168606, 453.20303869247437, 200.4691782593727, 416.4131498336792, 220.89416651427746, 429.4901463985443, 204.6761545687914, 415.84305226802826, 252.7264529168606, 453.20303869247437, 200.4691782593727, 416.4131498336792, 220.89416651427746, 429.4901463985443, 204.6761545687914, 415.84305226802826, 264.4018566310406, 465.15633893013, 142.71327091753483, 446.6936494112015, 204.5445078611374, 457.3056024312973, 111.32788962125778, 433.6066257953644, 264.4018566310406, 465.15633893013, 142.71327091753483, 446.6936494112015, 204.5445078611374, 457.3056024312973, 111.32788962125778, 433.6066257953644, 250.90196016430858, 489.2363712787628, 165.3287566453219, 494.42510628700256, 242.50988095998767, 496.5490634441376, 94.15000975131994, 494.765248298645, 250.90196016430858, 489.2363712787628, 165.3287566453219, 494.42510628700256, 242.50988095998767, 496.5490634441376, 94.15000975131994, 494.765248298645, 225.71334844827655, 507.04224729537964, 166.70153214037424, 511.4242630004883, 217.2448372840882, 513.5930502414703, 106.98964157700544, 515.2519855499268, 225.71334844827655, 507.04224729537964, 166.70153214037424, 511.4242630004883, 217.2448372840882, 513.5930502414703, 106.98964157700544, 515.2519855499268, 220.7595825195313, 514.4487104415894, 185.50098197162157, 524.0206832885742, 207.02582800388342, 518.1972720623016, 128.4803338348866, 531.8065078258514, 220.7595825195313, 514.4487104415894, 185.50098197162157, 524.0206832885742, 207.02582800388342, 518.1972720623016, 128.4803338348866, 531.8065078258514
Jordyn-full, 0, 45, 2023-11-17, 22:04:58.184, 257.2036908864975, 447.1763644218445, 199.60261607170105, 409.0339069366455, 220.7538016885519, 423.58188021183014, 203.82421632111073, 411.8090668916702, 378.9977064579726, 588.7303817272186, 454.8702068775892, 453.13479363918304, 399.1718378961086, 545.8825986385345, 432.3111233115196, 485.54597210884094, 259.691073089838, 464.16907715797424, 128.632541552186, 440.54778933525085, 242.99415835738185, 470.4672873020172, 99.51665200293064, 431.1632195711136, 365.51124651730066, 617.9864277839661, 431.43756163120275, 626.8874492645264, 398.53113433718687, 622.6122035980225, 460.06117436289793, 571.2758135795593, 250.8853676170111, 479.0962173938751, 196.9849620610476, 499.17209553718567, 237.33953697979453, 489.2953670024872, 91.96210584044462, 492.21143341064453, 372.4099339693785, 611.4180150032043, 427.573529213667, 605.8918044567108, 398.71887072920805, 622.1888453960419, 461.5210685431958, 583.8325700759888, 227.84422524273398, 501.87084436416626, 184.80337628722197, 515.8140559196472, 214.70199035108095, 509.31586027145386, 104.62981262803083, 513.5737738609314, 418.5437462329865, 615.2684025764465, 453.6633256077767, 610.3035957813263, 427.2420844882727, 625.1954607963562, 463.70237918198114, 582.7103736400604, 216.8534906506539, 509.5494544506073, 175.6476649343968, 523.2595717906952, 201.32302261888987, 515.9562678337097, 126.44748118519789, 529.1515336036682, 430.30367507040506, 611.239639043808, 457.74768580496317, 592.3136219978333, 441.84983815252787, 604.2981421947479, 462.1072448045016, 578.9936430454254
