pid, mode, frame, date, time, thumbTip.x, thumbTip.y, thumbIP.x, thumbIP.y, thumbMP.x, thumbMP.y, thumbCMC.x, thumbCMC.y, thumbTip2.x, thumbTip2.y, thumbIP2.x, thumbIP2.y, thumbMP2.x, thumbMP2.y, thumbCMC2.x, thumbCMC2.y, indexTip.x, indexTip.y, indexPIP.x, indexPIP.y, indexDIP.x, indexDIP.y, indexMCP.x, indexMCP.y, indexTip2.x, indexTip2.y, indexPIP2.x, indexPIP2.y, indexDIP2.x, indexDIP2.y, indexMCP2.x, indexMCP2.y, middleTip.x, middleTip.y, middlePIP.x, middlePIP.y, middleDIP.x, middleDIP.y, middleMCP.x, middleMCP.y, middleTip2.x, middleTip2.y, middlePIP2.x, middlePIP2.y, middleDIP2.x, middleDIP2.y, middleMCP2.x, middleMCP2.y, ringTip.x, ringTip.y, ringPIP.x, ringPIP.y, ringDIP.x, ringDIP.y, ringMCP.x, ringMCP.y, ringTip2.x, ringTip2.y, ringPIP2.x, ringPIP2.y, ringDIP2.x, ringDIP2.y, ringMCP2.x, ringMCP2.y, littleTip.x, littleTip.y, littlePIP.x, littlePIP.y, littleDIP.x, littleDIP.y, littleMCP.x, littleMCP.y, littleTip2.x, littleTip2.y, littlePIP2.x, littlePIP2.y, littleDIP2.x, littleDIP2.y, littleMCP2.x, littleMCP2.y
Ruben-hands, 1, 0, 2023-11-17, 21:50:04.144, 276.2130343914032, 91.83998969197279, 448.62042641639704, 14.668802157044468, 335.50101470947266, 51.6256546080113, 393.3675980567932, 22.38899256289011, 276.2130343914032, 91.83998969197279, 448.62042641639704, 14.668802157044468, 335.50101470947266, 51.6256546080113, 393.3675980567932, 22.38899256289011, 482.61015713214874, 267.2895848155022, 443.17815423011774, 224.07046753168112, 466.6682015657425, 248.20121842622763, 438.6347613334655, 185.3789595663548, 482.61015713214874, 267.2895848155022, 443.17815423011774, 224.07046753168112, 466.6682015657425, 248.20121842622763, 438.6347613334655, 185.3789595663548, 500.51374828815455, 240.9944908022881, 474.4546927213668, 212.78566050529486, 488.5714194774627, 231.46524402499205, 471.95142972469324, 179.34620934724813, 500.51374828815455, 240.9944908022881, 474.4546927213668, 212.78566050529486, 488.5714194774627, 231.46524402499205, 471.95142972469324, 179.34620934724813, 537.7395499944687, 246.59617851674562, 512.7835533618927, 191.91057987511164, 524.4868717193604, 221.12130630016333, 513.631769657135, 171.1816136538983, 537.7395499944687, 246.59617851674562, 512.7835533618927, 191.91057987511164, 524.4868717193604, 221.12130630016333, 513.631769657135, 171.1816136538983, 542.0007411241531, 201.91488596796995, 533.4741925001144, 166.66003514826303, 536.3108479976654, 180.07146927714354, 532.455016374588, 149.08971497416502, 542.0007411241531, 201.91488596796995, 533.4741925001144, 166.66003514826303, 536.3108479976654, 180.07146927714354, 532.455016374588, 149.08971497416502
Ruben-hands, 1, 5, 2023-11-17, 21:50:04.311, 279.6230094432831, 119.86114609241491, 427.59500598907465, 33.49481256306177, 334.2418837547302, 87.24638515710836, 378.0905387401581, 55.424941718578395, 279.6230094432831, 119.86114609241491, 427.59500598907465, 33.49481256306177, 334.2418837547302, 87.24638515710836, 378.0905387401581, 55.424941718578395, 431.4651699066162, 270.9575689435006, 400.9765465259552, 213.2857180088759, 408.9793553352356, 251.6650923490525, 410.42080640792847, 160.86317408084875, 431.4651699066162, 270.9575689435006, 400.9765465259552, 213.2857180088759, 408.9793553352356, 251.6650923490525, 410.42080640792847, 160.86317408084875, 483.13636898994446, 261.50100439786917, 431.44367146492, 216.32202917337423, 453.08265852928156, 243.01565679907804, 433.85649657249445, 167.5776561349631, 483.13636898994446, 261.50100439786917, 431.44367146492, 216.32202917337423, 453.08265852928156, 243.01565679907804, 433.85649657249445, 167.5776561349631, 521.7480702400208, 237.72454032301908, 473.7815470695495, 194.04717500507837, 495.9973534345626, 217.6836804747582, 469.72417449951166, 158.4893148988486, 521.7480702400208, 237.72454032301908, 473.7815470695495, 194.04717500507837, 495.9973534345626, 217.6836804747582, 469.72417449951166, 158.4893148988486, 527.746052145958, 203.50864544510847, 509.88595783710474, 163.06238967180258, 516.8705904483795, 182.5805686563254, 503.0875617265701, 135.67431238293653, 527.746052145958, 203.50864544510847, 509.88595783710474, 163.06238967180258, 516.8705904483795, 182.5805686563254, 503.0875617265701, 135.67431238293653
Ruben-hands, 1, 10, 2023-11-17, 21:50:04.479, 291.1989481449127, 138.80371055006987, 429.2073891162872, 37.60463966429239, 350.3664927482605, 105.60283584892755, 383.14056158065796, 68.28716565668589, 291.1989481449127, 138.80371055006987, 429.2073891162872, 37.60463966429239, 350.3664927482605, 105.60283584892755, 383.14056158065796, 68.28716565668589, 423.4453067779541, 262.4684342741967, 405.4914970397949, 198.7857377827168, 412.6854200363159, 239.01069709658628, 407.75899934768677, 155.33876201510435, 423.4453067779541, 262.4684342741967, 405.4914970397949, 198.7857377827168, 412.6854200363159, 239.01069709658628, 407.75899934768677, 155.33876201510435, 466.4131089448929, 245.0521341860295, 435.4694907665252, 200.63494749367243, 443.9750409126281, 229.04916915297514, 435.4251050949096, 161.40250998735434, 466.4131089448929, 245.0521341860295, 435.4694907665252, 200.63494749367243, 443.9750409126281, 229.04916915297514, 435.4251050949096, 161.40250998735434, 502.82285869121546, 208.9592816084624, 470.54267072677607, 183.4799097180367, 485.7836771011352, 201.2623082697392, 469.42430734634394, 155.0456270128489, 502.82285869121546, 208.9592816084624, 470.54267072677607, 183.4799097180367, 485.7836771011352, 201.2623082697392, 469.42430734634394, 155.0456270128489, 508.3348202705383, 192.69214822351938, 502.6154015064239, 167.37517081201082, 505.7021499872207, 181.00096440315252, 494.904210448265, 142.0116967707873, 508.3348202705383, 192.69214822351938, 502.6154015064239, 167.37517081201082, 505.7021499872207, 181.00096440315252, 494.904210448265, 142.0116967707873
Ruben-hands, 1, 15, 2023-11-17, 21:50:04.644, 319.52511715888977, 156.39443549513823, 413.644406080246, 43.56980103254324, 371.0119962692261, 128.2625058740378, 389.59476041793823, 87.36122058331972, 319.52511715888977, 156.39443549513823, 413.644406080246, 43.56980103254324, 371.0119962692261, 128.2625058740378, 389.59476041793823, 87.36122058331972, 397.3614752292633, 254.38208290934568, 399.5373730659485, 217.60212388634687, 398.99524569511414, 240.91515280306345, 408.41167426109314, 173.13181604444986, 397.3614752292633, 254.38208290934568, 399.5373730659485, 217.60212388634687, 398.99524569511414, 240.91515280306345, 408.41167426109314, 173.13181604444986, 435.33622264862055, 203.01152522861963, 436.5966868400573, 202.37475888431078, 437.9465334415435, 222.32350040972239, 436.523247718811, 170.85963699221617, 435.33622264862055, 203.01152522861963, 436.5966868400573, 202.37475888431078, 437.9465334415435, 222.32350040972239, 436.523247718811, 170.85963699221617, 466.0523573160171, 183.62608662247663, 465.36487936973566, 190.87777973711496, 469.60151672363276, 203.24025864899164, 466.4601610898971, 166.1299485713244, 466.0523573160171, 183.62608662247663, 465.36487936973566, 190.87777973711496, 469.60151672363276, 203.24025864899164, 466.4601610898971, 166.1299485713244, 485.0540910959243, 200.26619297266012, 489.9947329759597, 188.4402376711369, 489.77172136306757, 200.9241452813149, 490.35276257991785, 159.8923694491387, 485.0540910959243, 200.26619297266012, 489.9947329759597, 188.4402376711369, 489.77172136306757, 200.9241452813149, 490.35276257991785, 159.8923694491387
Ruben-hands, 1, 20, 2023-11-17, 21:50:04.811, 363.97433972358704, 188.10016857087618, 484.4364691972732, 99.6348621845246, 424.6667737960815, 160.79086682200438, 477.1229993104934, 143.43971826136118, 363.97433972358704, 188.10016857087618, 484.4364691972732, 99.6348621845246, 424.6667737960815, 160.79086682200438, 477.1229993104934, 143.43971826136118, 431.34578967094416, 209.2764461189509, 403.69823813438416, 196.2213924080134, 413.4984166622162, 213.93232738971716, 443.76438951492304, 161.8463528156281, 431.34578967094416, 209.2764461189509, 403.69823813438416, 196.2213924080134, 413.4984166622162, 213.93232738971716, 443.76438951492304, 161.8463528156281, 445.6989159584045, 196.2522339224816, 401.4204032421112, 193.00365689396864, 426.03034162521357, 218.79888089001184, 417.1048219203949, 154.1636909395457, 445.6989159584045, 196.2522339224816, 401.4204032421112, 193.00365689396864, 426.03034162521357, 218.79888089001184, 417.1048219203949, 154.1636909395457, 404.1285402774811, 186.60349580645567, 380.24066066741943, 190.94383744895464, 375.0802013874054, 208.0127564668656, 401.0689842700958, 134.2037939727307, 404.1285402774811, 186.60349580645567, 380.24066066741943, 190.94383744895464, 375.0802013874054, 208.0127564668656, 401.0689842700958, 134.2037939727307, 342.7887086868286, 190.4480296373368, 354.0421152114868, 170.59581236541277, 350.2681109905243, 187.7499439567328, 375.7264323234558, 106.06761465966707, 342.7887086868286, 190.4480296373368, 354.0421152114868, 170.59581236541277, 350.2681109905243, 187.7499439567328, 375.7264323234558, 106.06761465966707
Ruben-hands, 1, 25, 2023-11-17, 21:50:05.044, 390.66112756729126, 186.53403209149843, 432.55086898803705, 38.5155423879624, 398.0415925979614, 130.02953404188162, 400.4741384983063, 81.75884541869169, 390.66112756729126, 186.53403209149843, 432.55086898803705, 38.5155423879624, 398.0415925979614, 130.02953404188162, 400.4741384983063, 81.75884541869169, 408.8607528209686, 229.24171769618994, 392.47855138778687, 212.72038398683077, 405.69048261642456, 228.79175031185156, 390.13810992240906, 165.8877786248923, 408.8607528209686, 229.24171769618994, 392.47855138778687, 212.72038398683077, 405.69048261642456, 228.79175031185156, 390.13810992240906, 165.8877786248923, 445.10590338706965, 231.63720031082636, 431.4911680221557, 216.39333650469786, 436.83228087425226, 231.51049074530607, 423.57107543945307, 174.5624310970307, 445.10590338706965, 231.63720031082636, 431.4911680221557, 216.39333650469786, 436.83228087425226, 231.51049074530607, 423.57107543945307, 174.5624310970307, 474.9578784704208, 232.68303075432783, 456.75044822692865, 215.35691162943846, 465.2448880672454, 230.85260093212133, 453.09693527221674, 175.10770407319075, 474.9578784704208, 232.68303075432783, 456.75044822692865, 215.35691162943846, 465.2448880672454, 230.85260093212133, 453.09693527221674, 175.10770407319075, 501.0655694007873, 225.34393772482878, 484.5990407466888, 202.73432657122618, 490.6824331283569, 216.42780275642878, 487.3685344457626, 171.72194948792463, 501.0655694007873, 225.34393772482878, 484.5990407466888, 202.73432657122618, 490.6824331283569, 216.42780275642878, 487.3685344457626, 171.72194948792463
Ruben-hands, 1, 30, 2023-11-17, 21:50:05.212, 402.02230405807495, 183.90691001713282, 436.5070266723632, 57.641687288880405, 419.3595473766327, 137.2509793490172, 420.6084012985229, 97.80208878219133, 402.02230405807495, 183.90691001713282, 436.5070266723632, 57.641687288880405, 419.3595473766327, 137.2509793490172, 420.6084012985229, 97.80208878219133, 435.0527987480163, 212.60542356967932, 464.81686353683466, 184.83074930310255, 445.25100398063654, 208.53640601038938, 492.40958571434015, 158.59083878993994, 435.0527987480163, 212.60542356967932, 464.81686353683466, 184.83074930310255, 445.25100398063654, 208.53640601038938, 492.40958571434015, 158.59083878993994, 441.37489604949945, 204.97650779783731, 454.4349493980407, 179.6689047068358, 448.1912353038787, 204.78311556577688, 464.56354856491083, 150.5426096618176, 441.37489604949945, 204.97650779783731, 454.4349493980407, 179.6689047068358, 448.1912353038787, 204.78311556577688, 464.56354856491083, 150.5426096618176, 452.69568657875055, 201.19484440982347, 465.2193343639373, 181.10208207368856, 458.14306950569147, 203.67603956162935, 469.20493435859674, 142.79657737910753, 452.69568657875055, 201.19484440982347, 465.2193343639373, 181.10208207368856, 458.14306950569147, 203.67603956162935, 469.20493435859674, 142.79657737910753, 458.10446119308466, 193.55030477046972, 475.4110122919082, 172.2585980892182, 467.7266803979873, 191.33505909144884, 471.6718388795852, 137.8276875466109, 458.10446119308466, 193.55030477046972, 475.4110122919082, 172.2585980892182, 467.7266803979873, 191.33505909144884, 471.6718388795852, 137.8276875466109
Ruben-hands, 1, 35, 2023-11-17, 21:50:05.769, 409.8328490257263, 180.88328543305403, 490.44400596618647, 72.00149017572409, 415.78952836990356, 148.06575794518, 470.97494494915003, 116.01136264204985, 409.8328490257263, 180.88328543305403, 490.44400596618647, 72.00149017572409, 415.78952836990356, 148.06575794518, 470.97494494915003, 116.01136264204985, 419.9782803058624, 207.2060024440289, 402.5479326248169, 174.7870398163796, 410.5737397670746, 192.07066202163702, 426.2028291225433, 138.71502947807318, 419.9782803058624, 207.2060024440289, 402.5479326248169, 174.7870398163796, 410.5737397670746, 192.07066202163702, 426.2028291225433, 138.71502947807318, 429.898950099945, 203.4557430297137, 416.9801642894745, 166.2642513364554, 423.19243621826166, 185.5996935665608, 425.48099255561823, 137.56658147275454, 429.898950099945, 203.4557430297137, 416.9801642894745, 166.2642513364554, 423.19243621826166, 185.5996935665608, 425.48099255561823, 137.56658147275454, 448.41571903228754, 190.2259832322598, 444.74198532104487, 162.6105474233628, 446.20154619216913, 179.42854712903505, 438.5879869461059, 133.3466373533011, 448.41571903228754, 190.2259832322598, 444.74198532104487, 162.6105474233628, 446.20154619216913, 179.42854712903505, 438.5879869461059, 133.3466373533011, 471.6523125171661, 177.21861356496817, 467.98421728610987, 159.27819521725183, 470.9275594949722, 171.29044951498514, 460.6317780017852, 136.14680938422686, 471.6523125171661, 177.21861356496817, 467.98421728610987, 159.27819521725183, 470.9275594949722, 171.29044951498514, 460.6317780017852, 136.14680938422686
Ruben-hands, 1, 40, 2023-11-17, 21:50:06.111, 447.8295948505401, 195.53312979638582, 456.2724828720092, 85.80958305299288, 436.31992912292475, 155.90137748420244, 437.80437707900995, 123.13803356885916, 447.8295948505401, 195.53312979638582, 456.2724828720092, 85.80958305299288, 436.31992912292475, 155.90137748420244, 437.80437707900995, 123.13803356885916, 442.7360196113586, 164.1757152229548, 423.4182531833648, 190.97936612367636, 435.04035520553583, 184.06577350199228, 425.1497943401336, 157.40670587122446, 442.7360196113586, 164.1757152229548, 423.4182531833648, 190.97936612367636, 435.04035520553583, 184.06577350199228, 425.1497943401336, 157.40670587122446, 429.57725119590754, 171.0325619578362, 429.5119225978851, 169.15710414946085, 425.31489348411554, 174.1233379244805, 426.876835823059, 145.10775360465055, 429.57725119590754, 171.0325619578362, 429.5119225978851, 169.15710414946085, 425.31489348411554, 174.1233379244805, 426.876835823059, 145.10775360465055, 427.592339515686, 145.61971649527555, 425.29389500617975, 140.4379045963288, 418.7894775867462, 150.48133285343653, 418.20979738235474, 128.39555872976786, 427.592339515686, 145.61971649527555, 425.29389500617975, 140.4379045963288, 418.7894775867462, 150.48133285343653, 418.20979738235474, 128.39555872976786, 402.98823404312134, 139.69661457836634, 372.1346926689148, 136.73817276954657, 382.7419238090515, 143.3520996123553, 387.82011127471924, 112.50358565151697, 402.98823404312134, 139.69661457836634, 372.1346926689148, 136.73817276954657, 382.7419238090515, 143.3520996123553, 387.82011127471924, 112.50358565151697
Ruben-hands, 1, 45, 2023-11-17, 21:50:06.377, 445.9263439178466, 193.44624981284147, 467.3914546966552, 86.36016814410692, 430.6520066261291, 165.25554320216185, 438.548656463623, 125.56663878262049, 445.9263439178466, 193.44624981284147, 467.3914546966552, 86.36016814410692, 430.6520066261291, 165.25554320216185, 438.548656463623, 125.56663878262049, 417.8566007614136, 173.7113990336657, 351.81805419921875, 191.38855521380907, 395.06914138793945, 192.05963157117372, 374.13104796409607, 151.4163900762797, 417.8566007614136, 173.7113990336657, 351.81805419921875, 191.38855521380907, 395.06914138793945, 192.05963157117372, 374.13104796409607, 151.4163900762797, 451.2687900066375, 168.1749878376723, 420.3774735927581, 159.19538871943956, 431.96680021286005, 169.96073339879518, 424.5472824573516, 141.13122934103018, 451.2687900066375, 168.1749878376723, 420.3774735927581, 159.19538871943956, 431.96680021286005, 169.96073339879518, 424.5472824573516, 141.13122934103018, 427.88992905616755, 147.83861815929419, 424.29641175270075, 137.7995020896197, 422.1222360134124, 147.79174655675894, 427.6242816448211, 121.95568177104002, 427.88992905616755, 147.83861815929419, 424.29641175270075, 137.7995020896197, 422.1222360134124, 147.79174655675894, 427.6242816448211, 121.95568177104002, 403.8349504470825, 137.29825717210775, 395.35534286499023, 115.33581785857683, 393.12905979156494, 131.7947810888291, 417.4554076194763, 94.05811016261583, 403.8349504470825, 137.29825717210775, 395.35534286499023, 115.33581785857683, 393.12905979156494, 131.7947810888291, 417.4554076194763, 94.05811016261583
