pid, mode, frame, date, time, thumbTip.x, thumbTip.y, thumbIP.x, thumbIP.y, thumbMP.x, thumbMP.y, thumbCMC.x, thumbCMC.y, thumbTip2.x, thumbTip2.y, thumbIP2.x, thumbIP2.y, thumbMP2.x, thumbMP2.y, thumbCMC2.x, thumbCMC2.y, indexTip.x, indexTip.y, indexPIP.x, indexPIP.y, indexDIP.x, indexDIP.y, indexMCP.x, indexMCP.y, indexTip2.x, indexTip2.y, indexPIP2.x, indexPIP2.y, indexDIP2.x, indexDIP2.y, indexMCP2.x, indexMCP2.y, middleTip.x, middleTip.y, middlePIP.x, middlePIP.y, middleDIP.x, middleDIP.y, middleMCP.x, middleMCP.y, middleTip2.x, middleTip2.y, middlePIP2.x, middlePIP2.y, middleDIP2.x, middleDIP2.y, middleMCP2.x, middleMCP2.y, ringTip.x, ringTip.y, ringPIP.x, ringPIP.y, ringDIP.x, ringDIP.y, ringMCP.x, ringMCP.y, ringTip2.x, ringTip2.y, ringPIP2.x, ringPIP2.y, ringDIP2.x, ringDIP2.y, ringMCP2.x, ringMCP2.y, littleTip.x, littleTip.y, littlePIP.x, littlePIP.y, littleDIP.x, littleDIP.y, littleMCP.x, littleMCP.y, littleTip2.x, littleTip2.y, littlePIP2.x, littlePIP2.y, littleDIP2.x, littleDIP2.y, littleMCP2.x, littleMCP2.y
201a, 0, 0, 2023-11-19, 21:23:22.673, 620.9309365749359, 169.07098539173603, 615.9202997684479, 279.6571883559227, 610.0737791061401, 201.18556383252144, 603.4906451702118, 237.50396256148815, 299.31069350242615, 133.30010947585106, 247.38465178012848, 228.91961604356766, 291.77737843990326, 163.59803834557533, 279.89801728725433, 198.45932394266129, 672.7583465576172, 110.76774272322655, 655.9164006710052, 153.10729876160622, 662.6608562469482, 127.48778077960014, 646.0288951396942, 202.23795630037785, 288.7881506681442, 79.39723534882069, 276.6796672344208, 116.53335605561733, 282.4979399442673, 95.84051221609116, 266.8785721063614, 150.37187203764915, 716.2328064441681, 105.430629581213, 693.3390214443207, 154.5018226802349, 704.6503682136536, 124.5481188595295, 678.1007926464081, 207.44242280721664, 268.69794023036957, 71.62511120736599, 259.5225775241852, 110.4315170943737, 264.961238861084, 88.36080437898636, 249.44969654083252, 144.53604504466057, 745.8252170085907, 118.17761187255383, 723.2482979297638, 174.94690322875977, 735.3900845050812, 144.75396674871445, 705.8675577640533, 221.80794402956963, 245.2053097486496, 78.04027120769024, 239.53866493701935, 114.83976006507874, 242.9902480840683, 95.49359986186028, 233.51337945461273, 143.5862388908863, 776.4224991798401, 157.07882338762283, 754.5741384029388, 208.4317260980606, 766.458943605423, 184.6258266568184, 733.3254563808441, 240.77397553622723, 216.44004756212234, 102.52165293693542, 219.138740837574, 132.7808971107006, 217.8328077197075, 117.57968646287918, 217.64019668102264, 150.45911571383476
201a, 0, 1, 2023-11-19, 21:23:22.707, 618.492002248764, 173.23558977246284, 614.3762450218201, 284.18432895839214, 608.4132328033447, 204.65721844136715, 601.4781799316406, 241.39796155691147, 296.900812625885, 136.89141166210175, 245.15264689922333, 230.47015990316868, 289.65342128276825, 166.47645470499992, 277.9847948551178, 200.61004304885864, 669.488861322403, 114.37360635399818, 654.1483066082001, 156.57510989904404, 660.4749591350555, 131.35850021243095, 644.2507462501526, 206.3047552704811, 285.4486982822418, 82.99159981310368, 273.9082570075989, 119.47873631119728, 279.8151899576187, 99.1787077486515, 264.0363059043884, 153.00949335098267, 713.0610918998718, 109.12073710560799, 691.3114461898804, 158.04144111275673, 701.8857908248901, 128.56651508808136, 676.1303243637085, 211.47922395169735, 266.2968364953995, 75.92801806330681, 257.4777535200119, 113.23309527337551, 262.73276150226593, 91.9562937617302, 246.78172326087952, 146.88562473654747, 742.7578837871552, 122.04839380085468, 720.9776847362518, 178.7006311416626, 732.7145006656647, 148.78623697161674, 703.9598071575165, 225.7095987200737, 243.51121032238007, 82.50072914361954, 237.18269681930542, 117.52637782692909, 240.75982642173767, 98.95816123485565, 230.71370738744736, 145.79095408320427, 774.9518835544586, 161.96843771636486, 752.0333781242371, 212.43749824166298, 764.0290086269379, 188.68503242731094, 731.1151721477509, 244.33593609929085, 214.89050710201263, 106.01277488470078, 217.161203622818, 135.54725909233093, 215.83995217084885, 120.44797855615616, 214.89056265354156, 152.8624727576971
201a, 0, 2, 2023-11-19, 21:23:22.738, 616.3523795604706, 173.31708386540413, 612.4787158966064, 282.9699482321739, 606.7700185775757, 204.74574327468872, 599.7199740409851, 240.6062689423561, 295.15466141700745, 137.0029348284006, 243.62195229530334, 231.16276594996452, 288.09789514541626, 167.03969512879848, 276.4593220949173, 201.05926048755646, 668.7976891994476, 114.9591264128685, 652.3994889259338, 156.8442153930664, 658.9509029388428, 131.92852139472961, 642.4688198566437, 204.89948213100433, 283.98755419254303, 83.61186735332012, 272.26782035827637, 119.99313652515411, 278.2006958723068, 99.94952687621117, 262.30082058906555, 153.48383396863937, 711.8376805782318, 109.61657616496086, 689.7065625190735, 158.37679180502892, 700.4151196479797, 128.86849319934845, 674.4422800540924, 210.45079849660397, 264.8359979391098, 76.27796144783497, 255.51092386245728, 114.3357340991497, 261.12243378162384, 92.79104575514793, 244.79792261123657, 147.68212950229645, 741.3336536884308, 122.28540787100792, 719.5328450202942, 178.1091427654028, 731.0301783084869, 148.68424436450005, 702.4025866985321, 225.42924404144287, 241.7568097114563, 82.68527826666832, 235.35363495349884, 118.35581770539284, 239.0078423023224, 99.6126137971878, 228.52675479650497, 146.80341194570065, 773.6075365543365, 162.04421347379684, 751.0968904495239, 212.42215560376644, 762.7748773097992, 188.5652911067009, 729.4672360420227, 244.6228215545416, 213.2636250257492, 106.88996130228043, 214.80536049604416, 136.8244790136814, 213.77529627084732, 121.62614315748215, 212.5140404701233, 154.12941217422485
201a, 0, 3, 2023-11-19, 21:23:22.776, 615.5695474147797, 174.9401537179947, 611.6272220611572, 284.9076515287161, 605.901248216629, 206.1428920030594, 599.1786243915558, 242.3650164604187, 295.5714923143387, 139.81876197457314, 243.95998334884644, 233.87656924128532, 288.13644790649414, 169.39824292063713, 276.67838954925537, 203.4457125067711, 667.1863059997559, 116.59244552254677, 651.1073048114777, 158.50759482383728, 657.6357204914093, 133.37513528764248, 641.4040081501007, 207.0789179056883, 283.83892607688904, 85.78899079561234, 272.3873116970062, 122.40371179580688, 278.27999567985535, 102.02856367826462, 262.39098072052, 156.20907393097878, 709.8332147598267, 111.7911997884512, 688.284054517746, 160.27734154462814, 698.729964017868, 130.75991860032082, 673.2205908298492, 212.70191657543182, 264.6330682039261, 79.28033757209778, 255.6856334209442, 116.15435227751732, 261.2600349187851, 94.83214780688286, 244.84672462940216, 149.94540295004845, 739.3687961101532, 124.12999291718006, 717.8938527107239, 180.10518558323383, 729.3992409706116, 150.52867317199707, 700.874808549881, 227.32438792288303, 241.6738157272339, 85.56863176822662, 235.3621621131897, 120.52284812927246, 238.93865287303925, 101.83095300197601, 228.52382445335388, 148.76792579889297, 771.3512001037598, 163.58378937840462, 749.5364480018616, 214.34379756450653, 760.9866735935211, 190.33500657975674, 727.8519642353058, 246.27317067980766, 213.62425166368484, 109.0226192176342, 215.0974087715149, 138.56982125341892, 214.08703756332397, 123.56565882265568, 212.5063049197197, 155.954061165452
201a, 0, 4, 2023-11-19, 21:23:22.808, 615.9916279315948, 175.53611052036285, 612.084077835083, 284.987333253026, 606.4811506271362, 206.484117269516, 599.712807893753, 242.4599470794201, 295.4014768600464, 140.13530153036118, 243.3989406824112, 233.98143664002419, 287.94096207618713, 169.8822390884161, 276.3220542669296, 203.97461166977882, 667.9781930446625, 116.87817481160164, 651.7052059173584, 158.74070292711258, 658.2822847366333, 133.6967057287693, 641.9058051109314, 207.0780117213726, 283.5551133155823, 86.55834127962589, 272.15188431739807, 122.96823337674141, 277.95535254478455, 102.74907395243645, 261.9796494245529, 156.96101942658424, 710.5971038341522, 112.12255077064037, 688.7233560085297, 160.37977162003517, 699.271591424942, 131.04877266287804, 673.9016525745392, 212.8814035654068, 264.44122099876404, 79.593127399683, 255.47723186016083, 116.78374415636063, 260.88583981990814, 95.6263402402401, 244.45569741725922, 150.56017088890076, 740.1369071006775, 124.59364680945873, 718.4432573318481, 180.24426925182343, 729.894038438797, 150.8805851638317, 701.4533221721649, 227.82610155642033, 241.59901559352875, 86.05315914750099, 234.97535681724548, 121.08321376144886, 238.7434448003769, 102.45715761184692, 228.20523643493652, 149.29944977164268, 772.0157074928284, 163.91217182576656, 750.2193984985352, 214.5127853155136, 761.794337272644, 190.53386716544628, 728.4183676242828, 246.81569385528564, 213.21769779920578, 109.9114297926426, 214.73579609394073, 139.27839489281178, 213.6635543704033, 124.23764136433601, 212.18027299642563, 156.7906255275011
201a, 0, 5, 2023-11-19, 21:23:22.839, 614.8556547164917, 174.8069133758545, 611.308522939682, 284.8015342205763, 604.93026304245, 206.1187062561512, 598.3038544654846, 242.1928101927042, 293.8197581768036, 139.6237761080265, 242.79084587097168, 232.11038476228714, 285.8550021648407, 168.65629670023918, 274.2280949354172, 202.59527415037155, 667.4790070056915, 116.26128202676773, 650.5556225776672, 158.08909390866756, 657.454122543335, 133.04140947759151, 641.0359237194061, 206.24857184290886, 281.75918793678284, 85.46954520046711, 270.18336033821106, 121.3970972597599, 276.061767578125, 101.53906790912151, 260.30721509456635, 155.0523452758789, 710.104583978653, 111.27808073163033, 688.0815691947937, 159.9432407617569, 698.7703499794006, 130.3616349697113, 672.922779083252, 211.783295661211, 262.65440607070923, 79.17950113117695, 253.47340488433838, 115.18654742836952, 259.29112207889557, 94.10032585263252, 242.6962971687317, 149.21189361810684, 739.7538237571716, 123.70224267244339, 717.8751318454742, 179.57759882509708, 729.5106773376465, 150.08145558834076, 700.7809264659882, 226.98719361424446, 239.85691964626312, 84.68597699701786, 233.05971789360046, 119.67890930175781, 236.52716100215912, 101.11687976121902, 226.32869189977646, 147.98873227834702, 771.6141810417175, 163.41761392354965, 749.5276153087616, 213.64397329092026, 761.1330518722534, 189.93931651115417, 728.0342288017273, 246.28613848984241, 211.49694752693176, 108.00316186249256, 212.77167457342148, 137.8582478314638, 211.9577752351761, 122.93798556923866, 209.95303165912628, 155.41063180565834
201a, 0, 6, 2023-11-19, 21:23:22.872, 613.7231256961823, 174.25445342063904, 610.0063951015472, 285.1505089253187, 604.060159444809, 205.41381984949112, 597.0835540294647, 242.14390748739243, 293.25424361228943, 139.03100657463074, 240.52162146568298, 233.83872823417187, 285.72940015792847, 169.53154575824738, 273.9606420993805, 203.94380140304565, 664.87952876091, 115.57908147573471, 649.4737565517426, 157.469982534647, 655.8490166664124, 132.3353981524706, 639.6754112243652, 206.81559324264526, 281.66769456863403, 85.1517244875431, 269.69847881793976, 121.76175832748413, 275.7146816253662, 101.35961216688156, 259.68612122535706, 155.66067618131638, 707.7865297794342, 110.16828617453575, 686.4971284866333, 158.88200518488884, 696.8682100772858, 129.572692155838, 671.5785987377167, 212.17101755738258, 262.04658901691437, 78.48333284258842, 252.86006045341492, 115.50689920783043, 258.52478873729706, 94.26937609910965, 241.6671495437622, 149.57039888203144, 737.5396509170532, 122.97598281502724, 716.1005382537842, 179.3044936209917, 727.6363687515259, 149.57942947745323, 699.3689732551575, 226.44148316979408, 238.80141282081604, 84.97989319264889, 232.15045046806335, 120.15874952077866, 235.86654222011566, 101.23330882191658, 225.12454307079315, 148.68971271812916, 769.5808284282684, 162.56511321663857, 747.3799376487732, 213.09520056843758, 759.0825893878937, 189.3362977206707, 726.3675162792206, 245.26133777201176, 210.7838186621666, 108.84756940603256, 211.71491783857346, 138.02851673960686, 211.05342411994934, 123.01385506987572, 208.7831997871399, 155.9375623613596
201a, 0, 7, 2023-11-19, 21:23:22.906, 613.8205630779266, 173.47850966453552, 609.9907851219177, 283.68130291998386, 603.5114769935608, 204.65406242012978, 596.9395644664764, 241.29125054180622, 291.98947417736053, 139.15149784088135, 239.37739884853363, 233.07047142088413, 284.2572013139725, 168.89084219932556, 272.82786309719086, 202.91612589359283, 664.4860572814941, 115.1318638920784, 649.2092757225037, 156.72791132330894, 655.4972643852234, 131.85237066447735, 639.6054718494415, 205.83844532072544, 280.05695021152496, 85.07560500502586, 268.51775884628296, 121.52215069532394, 274.4928812980652, 101.18296872079372, 258.31119310855865, 155.02709710597992, 707.7382555007935, 109.80868723988533, 686.3178081512451, 158.31645242869854, 696.6826124191284, 129.0201697051525, 671.6398165225983, 211.1241246908903, 260.58986127376556, 78.37702804803848, 251.57132053375244, 115.0718994885683, 257.1898854970932, 93.85228133201599, 240.76240956783295, 148.89713518321514, 737.5753705501556, 122.44927099347115, 716.0915944576263, 178.47396007180214, 727.6481456756592, 148.88413612544537, 699.3983044624329, 225.26472471654415, 237.60361075401306, 84.82874789834023, 230.82710194587708, 119.72040629386902, 234.5427770614624, 100.85733607411385, 224.30975490808487, 148.0361663401127, 769.4182291030884, 161.64305505156517, 747.5947554111481, 212.17214247584343, 759.0805895328522, 188.61203771829605, 726.7097136974335, 244.26906594634056, 209.43148612976074, 108.51628091931343, 210.79497063159943, 137.64335715770721, 209.91840916872025, 122.68394148349762, 207.82310271263123, 155.6371778845787
201a, 0, 8, 2023-11-19, 21:23:22.941, 612.3129501342773, 173.23543353378773, 608.4724507331848, 283.5416880398989, 603.0973958969116, 204.3863943219185, 596.0134649276733, 240.7751317024231, 291.56144964694977, 137.4539958834648, 239.38842582702637, 230.54540444910526, 283.96575021743774, 166.72737401723862, 272.1198310852051, 201.16387790441513, 664.6526007652283, 114.18708862364292, 648.6332619190216, 156.4219959974289, 655.0371310710907, 131.18641893565655, 638.7659771442413, 205.25854985415936, 279.7808313369751, 83.21464614570141, 268.1256206035614, 119.82674233615398, 274.1239358186722, 99.53280708193779, 257.9617739915848, 153.59195113182068, 707.3938360214233, 109.03549328446388, 685.6586892604828, 158.04825311899185, 696.0041060447693, 128.44989854097366, 670.6338338851929, 210.93798193335533, 260.39309775829315, 76.64546605944633, 251.47763288021088, 113.49042037129402, 256.98803901672363, 92.34057840704918, 240.47051405906677, 147.52976554632187, 736.729043006897, 121.61248789727688, 715.3474261760712, 177.99565099179745, 726.8665912151337, 148.19684219360352, 698.5758640766144, 225.52970550954342, 237.1724475622177, 82.97363236546516, 230.78279960155487, 117.85316663980484, 234.32737600803375, 99.29566802084446, 224.06953620910645, 146.27160674333572, 769.1209728717804, 161.52237629890442, 747.3335521221161, 212.33375576138496, 758.7167270183563, 188.2291279733181, 725.3876984119415, 244.64656983315945, 208.80897569656372, 106.33981367945671, 210.54434990882874, 135.91841968894005, 209.29582929611206, 121.02831149101257, 207.92453980445862, 153.5758897960186
201a, 0, 9, 2023-11-19, 21:23:22.973, 611.1020934581757, 171.2315475344658, 607.7786121368408, 282.31149595975876, 601.257529258728, 203.14429685473442, 594.4042482376099, 239.65596282482147, 288.94988894462585, 135.48876333236694, 236.83100008964539, 230.94084453582764, 281.5933666229248, 166.01786294579506, 269.9400168657303, 200.40218311548233, 663.7974960803986, 112.77828449010849, 646.8448359966278, 154.90010631084442, 653.8348293304443, 129.55044376850128, 637.2249221801758, 202.998807400465, 277.6592628955841, 81.5826081931591, 266.0106350183487, 118.33944389224052, 272.0024229288101, 97.89655068516731, 255.35610175132751, 152.7401378750801, 706.1046516895294, 107.99650609493256, 684.072970867157, 156.83959072828293, 694.8948531150818, 127.13680621981621, 668.9886753559113, 208.73089191317558, 258.17659175395966, 74.3527572453022, 248.62981152534485, 112.67769803106785, 254.36475694179535, 90.80243989825249, 238.11787903308868, 146.72641752660275, 735.4906327724457, 120.4221054315567, 713.9481942653656, 176.608095318079, 725.5384652614594, 146.9001549333334, 696.8444340229034, 223.77067676186562, 234.64801943302155, 80.79304042458534, 228.2808559536934, 116.8686755001545, 231.96176970005035, 97.68006637692451, 221.77749401330948, 145.74770721793175, 767.1453938484192, 160.339649528265, 745.5312938690186, 210.46726605296135, 756.8879151344299, 186.8449783027172, 724.1184015274048, 243.0578099936247, 206.32747501134872, 105.36225953698158, 207.82918560504913, 135.1172902584076, 206.66606158018112, 119.78174559772015, 205.81034582853317, 153.2929103076458
