pid, mode, frame, date, time, thumbTip.x, thumbTip.y, thumbIP.x, thumbIP.y, thumbMP.x, thumbMP.y, thumbCMC.x, thumbCMC.y, thumbTip2.x, thumbTip2.y, thumbIP2.x, thumbIP2.y, thumbMP2.x, thumbMP2.y, thumbCMC2.x, thumbCMC2.y, indexTip.x, indexTip.y, indexPIP.x, indexPIP.y, indexDIP.x, indexDIP.y, indexMCP.x, indexMCP.y, indexTip2.x, indexTip2.y, indexPIP2.x, indexPIP2.y, indexDIP2.x, indexDIP2.y, indexMCP2.x, indexMCP2.y, middleTip.x, middleTip.y, middlePIP.x, middlePIP.y, middleDIP.x, middleDIP.y, middleMCP.x, middleMCP.y, middleTip2.x, middleTip2.y, middlePIP2.x, middlePIP2.y, middleDIP2.x, middleDIP2.y, middleMCP2.x, middleMCP2.y, ringTip.x, ringTip.y, ringPIP.x, ringPIP.y, ringDIP.x, ringDIP.y, ringMCP.x, ringMCP.y, ringTip2.x, ringTip2.y, ringPIP2.x, ringPIP2.y, ringDIP2.x, ringDIP2.y, ringMCP2.x, ringMCP2.y, littleTip.x, littleTip.y, littlePIP.x, littlePIP.y, littleDIP.x, littleDIP.y, littleMCP.x, littleMCP.y, littleTip2.x, littleTip2.y, littlePIP2.x, littlePIP2.y, littleDIP2.x, littleDIP2.y, littleMCP2.x, littleMCP2.y
208_1, 0, 0, 2023-11-24, 18:54:32.537, 212.88113886117935, 228.23060348629951, 236.71581399440765, 128.48633340001106, 242.33321237564087, 197.3904639184475, 259.233070731163, 157.50647988915443, 706.3079147338867, 235.87795542180538, 694.9047412872314, 125.44786614179611, 690.8011498451233, 191.66731625795364, 686.4427990913391, 153.36887355148792, 172.5506316423416, 291.45648933947086, 184.85000401735306, 215.70419895648956, 179.03707814216614, 249.98058944940567, 202.6202992796898, 158.94359447062016, 730.0210847854614, 282.6496901959181, 753.3236179351807, 206.72316244244576, 738.706399679184, 241.06386077404022, 751.8305594921112, 146.373036891222, 140.66049873828888, 303.9186797738075, 156.82077181339264, 219.66916155815125, 151.24257892370224, 263.5132335424423, 169.3250737786293, 161.03216183185577, 775.1735897064209, 296.37010192871094, 788.1739807128906, 214.98887580633163, 778.7493305206299, 255.94290727376938, 784.2343773841858, 152.55508878827095, 113.72983273863792, 298.7032765597105, 128.83134227991104, 215.68732517957687, 122.29641318321228, 257.800085157156, 148.8683204650879, 167.6794612556696, 800.1690557003021, 292.6806193590164, 815.9779098033905, 213.73652908205986, 806.0807938575745, 254.17772272229195, 800.3802070617676, 164.44697681069374, 102.17903804779053, 266.7015024423599, 113.65180367231369, 204.02154576778412, 106.31978651881218, 232.49682550132275, 136.79105699062347, 175.5644834637642, 828.5987727642059, 264.9126321077347, 835.7140347957611, 204.29468221962452, 836.0316784381866, 233.35016989707947, 812.1460208892822, 176.10694414377213
208_1, 0, 1, 2023-11-24, 18:54:32.574, 210.1850009560585, 226.84182915091515, 236.5462429523468, 126.5790966451168, 240.56409060955048, 195.64877766370773, 257.02095329761505, 155.64730215072632, 702.7823369503021, 234.0495254546404, 692.5543005466461, 125.3524980545044, 688.374547958374, 188.79411827027798, 684.9929597377777, 151.5260383784771, 170.6861834526062, 289.83401319384575, 182.2453178167343, 214.5166287869215, 176.35460591316223, 249.1243702620268, 201.1344069838524, 156.2761315703392, 727.2951712608337, 281.12411327660084, 749.8395926952362, 204.283339291811, 735.3885290622711, 238.70418806374073, 749.6301634311676, 144.28506323695183, 138.09510135650635, 301.4223607182503, 154.74886643886566, 217.23424430191517, 148.83429515361786, 262.13639584183693, 167.68674808740616, 157.9319490492344, 771.2459855079651, 294.69566079974174, 785.4005150794983, 212.7113221436739, 775.6241126060486, 253.73731714487076, 781.631954908371, 150.1065162718296, 112.83611279726028, 297.094924390316, 127.08534383773804, 212.85503047704697, 120.14629125595093, 256.2171686440706, 147.30479490756989, 164.68008491396904, 796.1706233024597, 290.83069095015526, 813.023512840271, 211.49944123625755, 802.7419803142548, 252.00331783294678, 797.6429054737091, 162.13295704126358, 99.55120769143105, 264.33279913663864, 112.12222009897232, 201.25449633598328, 103.81902334094048, 230.82066574692726, 134.8960554599762, 172.83730614185333, 825.1058037281036, 262.5273362547159, 832.3480565547943, 202.0783116221428, 832.0760207176208, 231.36200150847435, 809.246675491333, 173.5102573633194
208_1, 0, 2, 2023-11-24, 18:54:32.604, 205.82776123285294, 226.33920933306217, 232.40073788166046, 126.49635264277458, 236.38244926929474, 195.06341384351254, 252.80900859832764, 155.46528409421444, 700.6844890117645, 233.2451462596655, 690.4651741981506, 124.73144932091236, 686.2628121376038, 188.1886934041977, 682.6033551692963, 150.50189386308193, 166.24472761154175, 288.5073593556881, 178.1658079624176, 213.18875628709793, 172.10909420251846, 248.08872658014297, 196.4632316827774, 156.42049610614777, 724.4151577949524, 279.7711175978184, 747.3802154064178, 203.64907276630402, 732.8306033611298, 237.74063290655613, 746.7605936527252, 143.4412806481123, 132.94053053855896, 299.981871381402, 150.02122300863266, 217.07334971427917, 144.48908233642578, 260.98947897553444, 163.22771018743515, 157.55235156416893, 769.1190285682678, 293.2349541783333, 782.799259185791, 211.62668201327324, 772.9364185333252, 252.9050649702549, 778.8227696418762, 149.0150328874588, 107.62251153588295, 295.9491949379444, 122.25480508804321, 212.4166560024023, 115.86030331254005, 255.3348263502121, 142.92591786384583, 164.4668503701687, 793.4616529941559, 289.54225309193134, 809.9338479042053, 210.1896611750126, 799.658759355545, 251.29383800923824, 794.9201583862305, 161.26514494419098, 95.0723448395729, 263.91617308557034, 107.14324072003365, 200.68678748607635, 99.17713063955307, 229.68846656382084, 130.57811844348907, 172.2327562123537, 821.9653646945953, 262.4211876988411, 829.053795337677, 201.12969288229942, 829.3281087875366, 230.3888220489025, 806.5742025375366, 172.8540236800909
208_1, 0, 3, 2023-11-24, 18:54:32.636, 203.2376989722252, 224.63252054154873, 229.95098489522934, 126.77720728516579, 233.94868123531342, 192.89413358271122, 248.43140923976898, 153.01530542969704, 696.8068811893463, 230.61324328184128, 687.0447554588318, 121.9440263658762, 682.771009683609, 186.22777304053307, 679.0866656303406, 148.69980573654175, 163.72097998857498, 286.19937039911747, 175.32347232103348, 211.4331647902727, 169.31324130296707, 245.955787435174, 193.07451897859573, 153.8278715312481, 721.124174118042, 277.144308000803, 743.9039673805237, 201.0215444713831, 729.4983448982239, 235.31024657189846, 743.2520701885223, 140.9286815226078, 129.7353600859642, 297.49352049827576, 147.49525332450867, 214.84832349419594, 142.01569217443466, 259.48949395120144, 160.5822075009346, 154.73236846923828, 765.5973949432373, 290.8005368858576, 778.81893658638, 209.42846634984016, 769.4659478664398, 250.50742626190186, 775.1968102455139, 147.17885348200798, 104.66684383153915, 293.900780916214, 119.75509738922119, 209.9339609593153, 113.1799350976944, 253.76347149908543, 139.97852039337158, 161.89053711295128, 789.9359085559845, 286.68114797770977, 806.4635994434357, 208.14518436789513, 796.2171199321747, 248.48641650378704, 791.370415687561, 159.01855778694153, 92.55700632929802, 261.95634639263153, 104.27092808485031, 198.40457791090012, 96.46034145355225, 227.39316418766975, 127.13420140743256, 169.81883743405342, 818.5901093482971, 259.7306639701128, 825.6619300842285, 198.71436795592308, 825.7093155384064, 228.0678027868271, 802.8975801467896, 170.29211562871933
208_1, 0, 4, 2023-11-24, 18:54:32.670, 201.85025787353516, 221.81519350409508, 227.97533643245697, 122.67278604209423, 231.69684445858002, 189.42288519442081, 246.66309297084808, 149.61973905563354, 695.3680965900421, 228.49617798626423, 685.3995413780212, 119.53716957569122, 680.9553635120392, 184.2147939503193, 676.9023795127869, 146.50796461105347, 161.4585189819336, 282.6547523289919, 173.57764053344727, 207.45348450541496, 167.6944558620453, 242.76311260461807, 190.69403874874115, 150.52573588490486, 718.5735812187195, 274.4959062188864, 742.6756119728088, 198.8887303173542, 727.6986975669861, 233.2330533862114, 741.0947265625, 139.10243889689445, 127.97369611263275, 293.4949353337288, 145.0983298420906, 211.6665228754282, 140.33481401205063, 256.1436114758253, 158.39118576049805, 152.44472178816795, 763.6590909957886, 287.9661173373461, 777.1174488067627, 207.18072302639484, 767.5520310401917, 248.51232087612152, 773.3182241916656, 144.98413756489754, 103.29563766717911, 290.0042821019888, 116.98810350894928, 207.4327985048294, 110.975969851017, 250.8651815801859, 137.42677479982376, 159.25444693863392, 787.6534073352814, 284.56533259153366, 804.7931094169617, 205.4321310222149, 794.2388744354248, 246.55718134343624, 788.757771730423, 156.83009141683578, 89.99028265476227, 258.83301028609276, 101.71305793523788, 194.9468910396099, 93.86770993471146, 224.15027424693108, 124.64050716161728, 167.23311860859394, 816.5985870361328, 257.8643617480993, 824.0550465583801, 197.06430006027222, 823.8711154460907, 226.2329982817173, 800.1632227897644, 168.81847244501114
208_1, 0, 5, 2023-11-24, 18:54:32.705, 202.26089477539062, 222.2635047584772, 227.61004346609116, 122.49264284968376, 231.95275646448135, 188.90139174461365, 246.16415691375732, 149.53493270277977, 695.2652151584625, 227.7630436271429, 684.5758233070374, 119.33068454265594, 681.0696885585785, 183.8815681040287, 677.092199087143, 146.3001671731472, 162.42044925689697, 282.66147059202194, 172.8099600672722, 208.0375671684742, 167.73381412029266, 243.1482409387827, 190.44604283571243, 150.44549170136452, 718.8208410739899, 274.3515104353428, 741.937554359436, 198.0424479097128, 727.4166069030762, 232.6166918128729, 740.7626950740814, 138.01801750063896, 127.61794412136078, 293.5688987225294, 144.8989692926407, 211.17134001851082, 140.07887423038483, 256.3809380233288, 157.85916876792908, 151.27052564918995, 762.6697182655334, 286.8919764459133, 776.6215403079987, 206.06533512473106, 767.0062372684479, 247.98135936260223, 772.882922410965, 143.851782143116, 102.62899154424667, 290.0819639712572, 117.02405923604965, 207.32618123292923, 110.87094274163246, 250.58045221865177, 137.019165456295, 158.8531010299921, 786.2616193294525, 283.0443803369999, 804.4734659194946, 204.66131189465523, 793.0248513221741, 245.9246959388256, 788.466903924942, 156.16032746434212, 89.46052938699722, 259.1178021430969, 101.63727176189423, 195.27380484342575, 93.92596960067749, 224.31807458400726, 124.09246355295181, 166.68987673521042, 815.6149361133575, 258.00082060694695, 823.3787622451782, 196.20542481541634, 822.8249690532684, 225.8420578688383, 800.3451540470123, 168.35306867957115
208_1, 0, 6, 2023-11-24, 18:54:32.738, 203.1030559539795, 220.82645267248154, 229.02782958745956, 121.13177274167538, 232.67777335643768, 187.90562017261982, 247.62949514389038, 148.68952523171902, 694.8396348953247, 227.56802651286125, 685.2729949951172, 118.53180494904518, 681.2117338180542, 183.00210060179234, 677.3860111236572, 145.12793964147568, 163.44486111402512, 281.90911887586117, 173.87852150201797, 207.21175202727318, 168.59684878587723, 242.22371420264244, 191.05444318056107, 149.91959232091904, 718.7311809062958, 272.92383266985416, 741.7971200942993, 197.31365698575974, 727.3089480400085, 231.46877501904964, 740.9506814479828, 136.9042544811964, 128.81937092542648, 293.11083817481995, 145.84908097982407, 210.27821725606918, 141.07732963562012, 255.52678118646145, 158.1341210603714, 150.73597064614296, 763.4564390182495, 286.39616863429546, 776.4458863735199, 205.6391785144806, 767.0957307815552, 246.9169677644968, 772.7277114391327, 142.73173832893372, 103.21117851138115, 289.5010998249054, 117.78911489248276, 206.29000633955002, 111.63524150848389, 249.45659618079662, 137.5050191283226, 158.2646749317646, 786.7109200954437, 282.4431739151478, 803.7485184669495, 203.86174485087395, 793.3684930801392, 244.71050269901752, 788.0948753356934, 154.56706795096397, 90.80757063627243, 257.6535332798958, 102.35321986675262, 194.1761344075203, 94.90627354383469, 223.09347584843636, 124.88471168279648, 165.8877473771572, 815.6288239955902, 256.0947712659836, 822.9780135154724, 195.0394468307495, 822.8559112548828, 224.4819377064705, 799.5344350337982, 166.22475419938564
208_1, 0, 7, 2023-11-24, 18:54:32.770, 203.7567724585533, 217.768580570817, 229.06063276529312, 119.33312186598778, 234.32954251766205, 185.8627994954586, 248.50370955467224, 145.79389137029648, 696.3333044052124, 225.80290445685387, 686.4612421989441, 116.03507967293262, 683.6206703186035, 182.27312219142914, 679.2868733406067, 143.1569887548685, 164.85589772462845, 279.7990530729294, 175.25492173433304, 204.79820822179317, 169.64234244823456, 239.1988397091627, 192.49675530195236, 146.79035039246082, 720.6807062625885, 270.8010490387678, 743.0956926345825, 194.60369716584682, 728.8223938941956, 229.57213124632835, 742.6369481086731, 134.63585640490055, 130.4763897061348, 291.07776679098606, 147.3068364262581, 208.4903468489647, 142.26685452461243, 252.67495664954185, 159.8434693813324, 148.2030604928732, 764.1257238388062, 284.07274329662323, 777.6722419261932, 203.2052924335003, 768.3670830726624, 244.98995119333267, 774.3737032413483, 141.05829712748528, 105.47674345970154, 287.6915747374296, 119.19349920749664, 203.76412692666054, 113.39710685610771, 247.06211349368095, 139.06375336647034, 155.91871997714043, 787.5609140396118, 280.2025238275528, 805.3172380924225, 202.1518687903881, 794.5990149974823, 242.81623375415802, 790.1346719264984, 152.7755103111267, 92.50149646401405, 255.68689458072186, 103.59377577900887, 192.31905026733875, 96.240905970335, 221.299137160182, 126.41637843847275, 164.2627401649952, 816.6543607711792, 254.7658050954342, 824.4434628486633, 193.5315873771906, 823.8622827529907, 223.09481950104237, 801.7071664333344, 164.66702336072922
208_1, 0, 8, 2023-11-24, 18:54:32.804, 204.89681482315063, 218.65164156258106, 229.4646034836769, 120.32283137738705, 235.29672241210938, 186.97065669298172, 248.73385953903198, 146.44434422254562, 698.7078545093536, 225.2009480893612, 688.7612977027893, 115.74456948041916, 685.8000679016113, 181.36106330156326, 681.5769851207733, 142.3984812349081, 165.90725207328796, 280.6072757393122, 176.09930497407913, 205.49081426858902, 170.4727961421013, 240.17958112061024, 193.2353823184967, 147.2868456542492, 723.1580266952515, 269.98910789191723, 745.4158022403717, 194.41092988848686, 731.3728756904602, 228.78518828749657, 745.0078318119049, 134.3117236495018, 131.57119923830032, 291.47351935505867, 148.4682661294937, 209.2677280008793, 143.69705641269684, 253.68010254204273, 160.72512769699097, 148.65855872631073, 767.3173813819885, 283.28314428031445, 780.2571656703949, 202.675643324852, 771.2001554965973, 244.1139209419489, 777.0237889289856, 140.34506757557392, 106.65933829545975, 288.007239356637, 120.51888924837112, 204.5036983191967, 114.55845323204994, 247.75456330180168, 140.19821280241013, 156.29303659498692, 790.5102002620697, 279.42058050632477, 807.8404996395111, 201.37742492556572, 797.3645923137665, 241.89698788523674, 792.6574335098267, 152.0474380850792, 94.11960139870644, 256.03265076875687, 105.09466004371643, 192.9419738650322, 97.86710754036903, 221.78153969347477, 127.58737689256668, 164.74236164987087, 819.7946331501007, 253.31931619346142, 827.3739726543427, 192.51425486803055, 827.1705429553986, 221.89640636742115, 804.336198091507, 163.38305392861366
208_1, 0, 9, 2023-11-24, 18:54:32.838, 205.0195837020874, 218.82791003584862, 229.91566801071167, 120.35373538732529, 235.37302243709564, 187.05540055036545, 249.6600979566574, 146.87753157317638, 697.870304107666, 226.53753870725632, 688.303275346756, 115.66388782858849, 684.5343263149261, 181.51992678642273, 680.7244358062744, 143.56080323457718, 165.98455202579498, 280.82854095101357, 176.38650637865067, 205.84310123324394, 170.80117511749268, 240.1733003258705, 193.8209370970726, 147.7644985318184, 722.4096920490265, 272.4022454768419, 745.0276081562042, 195.7138979434967, 730.8340814113617, 230.60005673766136, 743.9604077339172, 135.12125872075558, 131.82888889312744, 292.13903361558914, 148.7671333551407, 209.31744314730167, 143.6980563402176, 253.74466036260128, 161.05827021598816, 149.21033123135567, 766.6035997867584, 285.54963624477386, 779.5164971351624, 204.73124432563782, 770.4505431652069, 246.03687530755997, 776.0881900787354, 141.3458387851715, 106.58664217591286, 288.57735428214073, 120.70243149995804, 205.03775335848331, 114.6836386024952, 248.07116535305977, 140.27866530418396, 156.673477768898, 790.0174582004547, 281.8303120881319, 807.5532426834106, 202.87425392866135, 797.0754466056824, 244.04633209109306, 791.5695679187775, 153.22560268640518, 93.70681881904602, 256.612639978528, 105.08020275831223, 193.63167387247086, 97.7822734117508, 222.36580984294415, 127.55964279174805, 165.06068232655525, 818.7338211536407, 255.48344057798386, 826.669468164444, 193.74122843146324, 826.2666084766388, 223.5532550215721, 802.2246844768524, 164.66083630919456
