pid, mode, frame, date, time, thumbTip.x, thumbTip.y, thumbIP.x, thumbIP.y, thumbMP.x, thumbMP.y, thumbCMC.x, thumbCMC.y, thumbTip2.x, thumbTip2.y, thumbIP2.x, thumbIP2.y, thumbMP2.x, thumbMP2.y, thumbCMC2.x, thumbCMC2.y, indexTip.x, indexTip.y, indexPIP.x, indexPIP.y, indexDIP.x, indexDIP.y, indexMCP.x, indexMCP.y, indexTip2.x, indexTip2.y, indexPIP2.x, indexPIP2.y, indexDIP2.x, indexDIP2.y, indexMCP2.x, indexMCP2.y, middleTip.x, middleTip.y, middlePIP.x, middlePIP.y, middleDIP.x, middleDIP.y, middleMCP.x, middleMCP.y, middleTip2.x, middleTip2.y, middlePIP2.x, middlePIP2.y, middleDIP2.x, middleDIP2.y, middleMCP2.x, middleMCP2.y, ringTip.x, ringTip.y, ringPIP.x, ringPIP.y, ringDIP.x, ringDIP.y, ringMCP.x, ringMCP.y, ringTip2.x, ringTip2.y, ringPIP2.x, ringPIP2.y, ringDIP2.x, ringDIP2.y, ringMCP2.x, ringMCP2.y, littleTip.x, littleTip.y, littlePIP.x, littlePIP.y, littleDIP.x, littleDIP.y, littleMCP.x, littleMCP.y, littleTip2.x, littleTip2.y, littlePIP2.x, littlePIP2.y, littleDIP2.x, littleDIP2.y, littleMCP2.x, littleMCP2.y
Ruben-full, 0, 0, 2023-11-17, 21:49:26.702, 291.87973991036415, 515.9347138404846, 255.2328024953604, 347.06001019477844, 289.99768882989883, 456.0844964981079, 280.1957743167877, 392.6850641965866, 291.87973991036415, 515.9347138404846, 255.2328024953604, 347.06001019477844, 289.99768882989883, 456.0844964981079, 280.1957743167877, 392.6850641965866, 239.86494767665866, 471.1455159187317, 270.4652921259403, 473.51395535469055, 256.5928914099932, 472.3721492290497, 284.59773649275303, 448.3348082304001, 239.86494767665866, 471.1455159187317, 270.4652921259403, 473.51395535469055, 256.5928914099932, 472.3721492290497, 284.59773649275303, 448.3348082304001, 253.37387473881248, 517.4152176380157, 236.07294128835204, 487.6468198299408, 241.41714766621593, 497.3415615558624, 227.21636450290683, 461.48385512828827, 253.37387473881248, 517.4152176380157, 236.07294128835204, 487.6468198299408, 241.41714766621593, 497.3415615558624, 227.21636450290683, 461.48385512828827, 229.89285799860957, 561.9534337520599, 200.04720884561544, 505.8701100349426, 213.5112329125405, 534.4270956516266, 173.30052256584173, 472.32859683036804, 229.89285799860957, 561.9534337520599, 200.04720884561544, 505.8701100349426, 213.5112329125405, 534.4270956516266, 173.30052256584173, 472.32859683036804, 159.2007633298636, 505.75750708580017, 150.89011572301393, 494.5969271659851, 161.73229858279234, 509.9433147907257, 127.47384428977972, 468.3366084098816, 159.2007633298636, 505.75750708580017, 150.89011572301393, 494.5969271659851, 161.73229858279234, 509.9433147907257, 127.47384428977972, 468.3366084098816
Ruben-full, 0, 5, 2023-11-17, 21:49:26.906, 285.9162971675396, 501.8319582939148, 249.62930241227153, 340.7047208547592, 283.447413623333, 445.06348979473114, 276.47285667061806, 390.17816257476807, 285.9162971675396, 501.8319582939148, 249.62930241227153, 340.7047208547592, 283.447413623333, 445.06348979473114, 276.47285667061806, 390.17816257476807, 241.40346115827563, 478.76274156570435, 276.32592982053757, 483.3951835632324, 262.9707728624344, 485.9679970741272, 290.7002004086971, 449.8443932533264, 241.40346115827563, 478.76274156570435, 276.32592982053757, 483.3951835632324, 262.9707728624344, 485.9679970741272, 290.7002004086971, 449.8443932533264, 251.27012097835544, 555.2786953449249, 242.77992388606074, 499.38602447509766, 244.030270755291, 532.1870357990265, 240.12274149060252, 466.47491002082825, 251.27012097835544, 555.2786953449249, 242.77992388606074, 499.38602447509766, 244.030270755291, 532.1870357990265, 240.12274149060252, 466.47491002082825, 221.50409105420115, 560.0070192813873, 199.59617903828627, 506.7451021671295, 208.26667556166655, 531.254825592041, 182.2221883833409, 475.0885634422302, 221.50409105420115, 560.0070192813873, 199.59617903828627, 506.7451021671295, 208.26667556166655, 531.254825592041, 182.2221883833409, 475.0885634422302, 152.1198390871287, 510.2081844806671, 150.75859400630003, 500.2947919368744, 158.7274851351977, 514.9987816810608, 133.2770798951388, 471.5406539440155, 152.1198390871287, 510.2081844806671, 150.75859400630003, 500.2947919368744, 158.7274851351977, 514.9987816810608, 133.2770798951388, 471.5406539440155
Ruben-full, 0, 10, 2023-11-17, 21:49:27.137, 276.9050753414631, 516.491229057312, 259.4589961618185, 337.76101756095886, 280.88359946012497, 464.5192184448242, 280.3365453630686, 398.33632123470306, 276.9050753414631, 516.491229057312, 259.4589961618185, 337.76101756095886, 280.88359946012497, 464.5192184448242, 280.3365453630686, 398.33632123470306, 265.67976400256157, 488.15200543403625, 280.084469884634, 475.8525080680847, 268.2426407337189, 477.97635412216187, 291.3783387541771, 440.76082944869995, 265.67976400256157, 488.15200543403625, 280.084469884634, 475.8525080680847, 268.2426407337189, 477.97635412216187, 291.3783387541771, 440.76082944869995, 250.20876041054728, 510.82725071907043, 236.27002075314525, 481.61825680732727, 236.14852955937388, 485.6333546638489, 249.62230291962626, 453.68961453437805, 250.20876041054728, 510.82725071907043, 236.27002075314525, 481.61825680732727, 236.14852955937388, 485.6333546638489, 249.62230291962626, 453.68961453437805, 220.78539314866072, 559.0855860710144, 200.94720610976225, 488.20022416114807, 208.73698522150522, 517.9275138378143, 190.91430833935738, 461.85049521923065, 220.78539314866072, 559.0855860710144, 200.94720610976225, 488.20022416114807, 208.73698522150522, 517.9275138378143, 190.91430833935738, 461.85049521923065, 144.6663480997086, 512.3377523422241, 136.99481041729456, 482.02822709083557, 148.23705802857882, 507.3244490623474, 115.24079349637032, 454.14783132076263, 144.6663480997086, 512.3377523422241, 136.99481041729456, 482.02822709083557, 148.23705802857882, 507.3244490623474, 115.24079349637032, 454.14783132076263
Ruben-full, 0, 15, 2023-11-17, 21:49:27.307, 263.971606567502, 505.94827103614807, 241.8234932124615, 321.3833713531494, 252.8647241443396, 457.1211713552475, 259.8991517573595, 385.0032876729965, 263.971606567502, 505.94827103614807, 241.8234932124615, 321.3833713531494, 252.8647241443396, 457.1211713552475, 259.8991517573595, 385.0032876729965, 295.81067372858524, 468.4446005821228, 279.34102377295494, 457.23271882534027, 289.8201391994953, 468.0405743122101, 267.74739538133144, 428.2921499013901, 295.81067372858524, 468.4446005821228, 279.34102377295494, 457.23271882534027, 289.8201391994953, 468.0405743122101, 267.74739538133144, 428.2921499013901, 272.50173826515675, 514.5276491641998, 241.36521393060687, 487.05141854286194, 259.67423056066036, 499.1522636413574, 219.30375054478645, 458.0388548374176, 272.50173826515675, 514.5276491641998, 241.36521393060687, 487.05141854286194, 259.67423056066036, 499.1522636413574, 219.30375054478645, 458.0388548374176, 241.89780032634738, 531.7803430557251, 204.43042238056665, 500.4898889064789, 224.28601440787318, 515.0745539665222, 181.89583703875547, 484.29434061050415, 241.89780032634738, 531.7803430557251, 204.43042238056665, 500.4898889064789, 224.28601440787318, 515.0745539665222, 181.89583703875547, 484.29434061050415, 146.16267713904386, 529.6928832530975, 135.96910351514822, 519.6407785415649, 141.45845562219625, 528.0648345947266, 129.80605024099356, 490.12414026260376, 146.16267713904386, 529.6928832530975, 135.96910351514822, 519.6407785415649, 141.45845562219625, 528.0648345947266, 129.80605024099356, 490.12414026260376
Ruben-full, 0, 20, 2023-11-17, 21:49:27.609, 144.53804489970207, 373.47712314128876, 146.03037422895432, 317.486709356308, 184.51499094069004, 355.48337185382843, 216.87927003204823, 330.39749574661255, 144.53804489970207, 373.47712314128876, 146.03037422895432, 317.486709356308, 184.51499094069004, 355.48337185382843, 216.87927003204823, 330.39749574661255, 276.59625397622585, 463.1179311275482, 230.2891730219126, 409.3642441034317, 251.82023735344413, 435.8007723093033, 201.7387112379074, 370.16844630241394, 276.59625397622585, 463.1179311275482, 230.2891730219126, 409.3642441034317, 251.82023735344413, 435.8007723093033, 201.7387112379074, 370.16844630241394, 255.52287521958354, 496.2254202365875, 190.4622161090374, 458.9912580251694, 217.67255628108984, 468.47709822654724, 178.45521143078804, 410.10177397727966, 255.52287521958354, 496.2254202365875, 190.4622161090374, 458.9912580251694, 217.67255628108984, 468.47709822654724, 178.45521143078804, 410.10177397727966, 226.52053993940356, 513.481947183609, 155.6083674728871, 465.9816402196884, 186.88100694119936, 481.8005769252777, 148.31408369541168, 438.4358035326004, 226.52053993940356, 513.481947183609, 155.6083674728871, 465.9816402196884, 186.88100694119936, 481.8005769252777, 148.31408369541168, 438.4358035326004, 165.5581462681294, 486.4672386646271, 118.28029192984104, 443.77749967575073, 140.6336091607809, 459.26321053504944, 101.93647660315037, 434.00243043899536, 165.5581462681294, 486.4672386646271, 118.28029192984104, 443.77749967575073, 140.6336091607809, 459.26321053504944, 101.93647660315037, 434.00243043899536
Ruben-full, 0, 25, 2023-11-17, 21:49:27.775, 136.44953744113445, 390.8097834587097, 178.2223220616579, 294.1193197965622, 179.10857032239437, 358.93256628513336, 223.1831256002188, 315.21109652519226, 136.44953744113445, 390.8097834587097, 178.2223220616579, 294.1193197965622, 179.10857032239437, 358.93256628513336, 223.1831256002188, 315.21109652519226, 269.37837091088295, 443.7443354129791, 226.37267565727237, 404.6118663549423, 249.09140390157702, 426.88583517074585, 202.04475155472755, 381.27586340904236, 269.37837091088295, 443.7443354129791, 226.37267565727237, 404.6118663549423, 249.09140390157702, 426.88583517074585, 202.04475155472755, 381.27586340904236, 258.8806943297386, 461.9793747663498, 195.6152175962925, 440.4652953147888, 226.91576129198077, 452.4248728752136, 175.22082087397575, 411.44473218917847, 258.8806943297386, 461.9793747663498, 195.6152175962925, 440.4652953147888, 226.91576129198077, 452.4248728752136, 175.22082087397575, 411.44473218917847, 215.4455302059651, 486.9859232902527, 148.45701083540916, 463.0859056711197, 180.2980153560639, 476.6897807121277, 130.123183503747, 423.08811044692993, 215.4455302059651, 486.9859232902527, 148.45701083540916, 463.0859056711197, 180.2980153560639, 476.6897807121277, 130.123183503747, 423.08811044692993, 118.1593631953001, 415.15226900577545, 81.22772766649723, 420.34097623825073, 101.28383640944958, 418.5320518016815, 76.50866347551346, 405.38717126846313, 118.1593631953001, 415.15226900577545, 81.22772766649723, 420.34097623825073, 101.28383640944958, 418.5320518016815, 76.50866347551346, 405.38717126846313
Ruben-full, 0, 30, 2023-11-17, 21:49:28.008, 126.27814970910549, 430.2585073709488, 139.7781399190426, 313.8507229089737, 141.58463397622108, 399.66808581352234, 124.66895385086536, 355.1098155975342, 126.27814970910549, 430.2585073709488, 139.7781399190426, 313.8507229089737, 141.58463397622108, 399.66808581352234, 124.66895385086536, 355.1098155975342, 199.62164594233036, 454.7048465013504, 180.69008068740374, 470.0065429210663, 222.7749989330769, 492.5177445411682, 130.8271949738264, 398.0765345096588, 199.62164594233036, 454.7048465013504, 180.69008068740374, 470.0065429210663, 222.7749989330769, 492.5177445411682, 130.8271949738264, 398.0765345096588, 197.12773296236992, 440.4091327190399, 188.1492587625981, 510.00114393234253, 202.2067085653544, 490.78064823150635, 163.56788428127766, 434.00090277194977, 197.12773296236992, 440.4091327190399, 188.1492587625981, 510.00114393234253, 202.2067085653544, 490.78064823150635, 163.56788428127766, 434.00090277194977, 210.61034943163395, 445.37857806682587, 176.86551415920263, 493.6517734527588, 218.8843434453011, 485.59180212020874, 196.47481153905392, 420.1561007499695, 210.61034943163395, 445.37857806682587, 176.86551415920263, 493.6517734527588, 218.8843434453011, 485.59180212020874, 196.47481153905392, 420.1561007499695, 178.87077505886555, 428.7791701555252, 210.36592964828014, 432.4201284646988, 219.17738470435143, 448.7247521877289, 222.84449389576915, 406.16825354099274, 178.87077505886555, 428.7791701555252, 210.36592964828014, 432.4201284646988, 219.17738470435143, 448.7247521877289, 222.84449389576915, 406.16825354099274
Ruben-full, 0, 35, 2023-11-17, 21:49:28.342, 169.82614940404892, 429.7651264667511, 146.6614534854889, 290.9662983417511, 149.52077747881413, 389.9431518316269, 120.50663055479527, 337.3692681789398, 169.82614940404892, 429.7651264667511, 146.6614534854889, 290.9662983417511, 149.52077747881413, 389.9431518316269, 120.50663055479527, 337.3692681789398, 182.82336355745798, 481.49409914016724, 131.73809769749647, 465.9206168651581, 162.10158431530004, 492.9396028518677, 122.18903985619545, 400.7460632324219, 182.82336355745798, 481.49409914016724, 131.73809769749647, 465.9206168651581, 162.10158431530004, 492.9396028518677, 122.18903985619545, 400.7460632324219, 200.87268026173115, 456.8407472372055, 191.59425905346876, 496.2295310497284, 198.62712427973753, 505.04167008399963, 158.21417859196663, 426.2759071588516, 200.87268026173115, 456.8407472372055, 191.59425905346876, 496.2295310497284, 198.62712427973753, 505.04167008399963, 158.21417859196663, 426.2759071588516, 237.00846722722056, 452.4139847755432, 195.94519367814064, 463.32277739048004, 229.66212472319606, 473.25308537483215, 186.6174322962761, 415.4726346731186, 237.00846722722056, 452.4139847755432, 195.94519367814064, 463.32277739048004, 229.66212472319606, 473.25308537483215, 186.6174322962761, 415.4726346731186, 267.31552043557167, 452.0807589292526, 241.80880677700046, 434.98710906505585, 257.50666892528534, 453.8865724802017, 222.23297572135928, 400.64384841918945, 267.31552043557167, 452.0807589292526, 241.80880677700046, 434.98710906505585, 257.50666892528534, 453.8865724802017, 222.23297572135928, 400.64384841918945
Ruben-full, 0, 40, 2023-11-17, 21:49:28.541, 148.4228883087635, 382.5426049232483, 232.5134805440903, 310.4012507200241, 178.61548106372356, 362.54533219337463, 216.36921325325966, 344.45658779144287, 148.4228883087635, 382.5426049232483, 232.5134805440903, 310.4012507200241, 178.61548106372356, 362.54533219337463, 216.36921325325966, 344.45658779144287, 194.06704856455326, 414.8683451414108, 129.10135132074356, 447.26788556575775, 172.84333695471287, 432.7670199871063, 126.5531610250473, 389.30672574043274, 194.06704856455326, 414.8683451414108, 129.10135132074356, 447.26788556575775, 172.84333695471287, 432.7670199871063, 126.5531610250473, 389.30672574043274, 164.33126644790173, 396.68346881866455, 169.31896741688257, 500.1014726161957, 183.08562579751015, 439.5740543603897, 122.4379593133927, 477.89319348335266, 164.33126644790173, 396.68346881866455, 169.31896741688257, 500.1014726161957, 183.08562579751015, 439.5740543603897, 122.4379593133927, 477.89319348335266, 187.07652401924133, 425.0028327703476, 160.39092706143862, 508.2887125015259, 195.09038063883787, 475.18516755104065, 121.27054393291479, 469.3167040348053, 187.07652401924133, 425.0028327703476, 160.39092706143862, 508.2887125015259, 195.09038063883787, 475.18516755104065, 121.27054393291479, 469.3167040348053, 217.24221247434616, 435.76371943950653, 210.15947586297995, 474.80475068092346, 220.3631112575531, 461.8208029270172, 173.24162058532238, 431.0994186401367, 217.24221247434616, 435.76371943950653, 210.15947586297995, 474.80475068092346, 220.3631112575531, 461.8208029270172, 173.24162058532238, 431.0994186401367
Ruben-full, 0, 45, 2023-11-17, 21:49:28.775, 220.01094928383827, 415.98976385593414, 206.96008276939392, 265.02826178073883, 235.24915724992755, 366.31078147888184, 220.55428490042686, 292.81605315208435, 220.01094928383827, 415.98976385593414, 206.96008276939392, 265.02826178073883, 235.24915724992755, 366.31078147888184, 220.55428490042686, 292.81605315208435, 214.53128397464752, 400.5542993545532, 185.25343741476536, 435.27978229522705, 208.1402472257614, 417.64508831501007, 167.45397759974003, 390.8356704711914, 214.53128397464752, 400.5542993545532, 185.25343741476536, 435.27978229522705, 208.1402472257614, 417.64508831501007, 167.45397759974003, 390.8356704711914, 203.032023742795, 410.6306800842285, 142.81707589328295, 491.8191285133362, 188.89789199829102, 454.10977852344513, 126.7528965473175, 429.6610506772995, 203.032023742795, 410.6306800842285, 142.81707589328295, 491.8191285133362, 188.89789199829102, 454.10977852344513, 126.7528965473175, 429.6610506772995, 205.37875989079475, 389.2237595319748, 115.4357168674469, 449.9677176475525, 174.8332552164793, 422.021687746048, 96.03087341785431, 415.5674055814743, 205.37875989079475, 389.2237595319748, 115.4357168674469, 449.9677176475525, 174.8332552164793, 422.021687746048, 96.03087341785431, 415.5674055814743, 201.72186870872974, 397.2697596549988, 114.69133332371712, 404.4310739040375, 182.3890200406313, 400.99596178531647, 80.9959007203579, 393.1989436149597, 201.72186870872974, 397.2697596549988, 114.69133332371712, 404.4310739040375, 182.3890200406313, 400.99596178531647, 80.9959007203579, 393.1989436149597
